Protein	ACTB_1	ACTB_2	ACTB_3	CTNNA1_1	CTNNA1_2	CTNNA1_3	EGFP_1	EGFP_2	EGFP_3	Empty_1	Empty_2	Empty_3	KRT8_1	KRT8_2	KRT8_3	LMNA_1	LMNA_2	LMNA_3	MAPRE3_1	MAPRE3_2	MAPRE3_3	NminiTurbo_1	NminiTurbo_2	NminiTurbo_3
IGKV3-7	0	0	34208.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGLV3-9	0	0	26135.254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGKV2-28	0	0	62817.543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-49	0	0	75489.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGKV3D-20	0	0	171973.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV5-51	0	0	13159.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTC26	0	0	0	0	0	0	0	0	24467.715	0	0	0	0	19413.043	0	0	0	0	0	0	0	0	0	0
UBA6	68969.625	51991.594	150006.89	48016.574	85927.46	42555.617	216178.86	155349.23	107245.72	70254.37	117756.37	96927.79	100318.71	72837.44	174576.7	49104.273	62895.516	20066.166	33502.496	0	24732.773	54448.477	47604.05	67622.43
ESYT2	0	13343.41	59522.95	0	0	0	193451.02	176478.47	154805.98	0	0	0	272704.84	307165.44	342528.12	0	30932.389	27386.184	0	0	0	0	0	0
UHRF1BP1L	685347.1	552411.2	915577.44	17899.643	36992.39	32044.494	1382706.8	1259402	1610749.1	0	0	0	974711.4	1149554.2	1593814.1	51066.594	50634.062	34367.07	176607.67	151772.4	162270.84	0	0	0
SHTN1	1515942.6	1524315.1	1766956.9	213289.25	203382.94	236788.4	2562872.2	1265729.4	1362227.1	0	0	0	1158569.4	1039462.06	1441205	139922.23	203175.08	61944.508	872491.44	763543.2	672943.6	14097.109	0	84144.92
FAM168B	15951.584	13249.498	19780.867	16069.857	18634.482	0	0	24357	59711.688	15336.658	12981.983	16350.983	21076.875	22180.414	21193.506	0	0	14070.294	7944.0576	11219.204	0	0	11577.219	14205.656
MEX3A	79642.33	0	20560.77	0	0	0	0	118946.586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILVBL	0	0	0	0	0	0	16477.695	12259.715	25606.902	0	0	0	0	16748.947	24114.875	0	0	0	0	0	0	0	0	0
PLEKHG3	753627.9	690525.94	774191.2	3801.81	0	0	247170.36	303582.06	199545.72	0	0	0	232386.66	282131.5	252825.83	0	0	0	0	0	0	0	0	0
SH3PXD2B	787614.4	661199.94	876197.9	12861.085	26235.121	30053.633	611231.25	536059.25	325327.84	0	4311.5146	0	214802.88	301835.34	295635.16	52873.73	62662.574	32937.523	306556.1	324326.56	247833.25	8535.734	15460.725	0
PIPSL	0	11302.424	14092.476	0	0	0	58564.758	44184.562	59608.13	0	9479.822	8947.965	16930.129	44382.465	24423.693	0	0	0	0	0	0	0	0	0
ZNF320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12425.622	17920.684	9584.581	0	0	0	0	0	0
NBAS	13156.155	0	25011.008	0	0	0	113159.33	30537.617	70754.95	0	0	0	12019.37	69751.45	19065.898	0	12297.725	0	0	0	0	0	0	0
CCDC66	0	0	0	0	0	0	38888.59	0	0	0	0	0	30496.457	0	0	0	0	0	25966.047	24640.637	0	0	0	0
VWA8	364708.22	0	0	0	0	0	719287.3	783790.94	0	0	0	0	0	13301.115	0	0	0	0	0	0	0	0	839.46594	0
SBNO1	219002.84	46507.223	388320	0	10601.384	0	2091874	1780870.5	2077158.4	0	0	0	0	26552.742	52977.15	1909604.2	2947666.8	1778038	63163.137	27765.998	19331.238	15031.44	13503.575	0
GTPBP10	0	0	0	0	0	0	0	0	0	0	0	0	17098.865	32847.92	66340.2	0	0	0	0	0	0	0	0	0
POTEF	90294.73	168831.66	215094.7	0	0	0	0	0	0	0	0	0	0	0	0	40485.133	0	0	0	0	0	0	22431.383	0
PEDS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14301.01	0	0	0	0	0	0	0
CNOT1	906820.4	649819.7	1740380	0	9446.467	9297.983	1106747.8	2286214.2	1960779.6	0	0	0	847232.9	1180415	1477487.5	0	0	0	131210.48	179733.83	142199.72	0	0	0
BDP1	0	0	0	0	0	0	8098.378	20109.727	19821.465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRT87P	0	0	0	0	0	0	0	0	15533.98	0	0	1170346.4	10174.969	0	14203.396	0	0	0	0	0	0	6426.501	0	0
