Bait	Prey	PreyGene	Intensity	IntensitySum	AvgIntensity	NumReplicates	ctrlIntensity	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	OddsScore	FoldChange	BFDR	boosted_by
ACTB	UBA6	UBA6	0.835|0.707|1.317	2.859	0.953	3	1.632|1.345|1.082|0.844|1.143|1.019|0.727|0.672|0.825	0.000	0.000	0.000	0.000	0.000	-12.856	0.960	0.972	
ACTB	UHRF1BP1L	UHRF1BP1L	3.212|2.830|3.807	9.850	3.283	3	4.849|4.590|5.303|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.013	0.669	0.983	
ACTB	SHTN1	SHTN1	5.118|5.134|5.599	15.852	5.284	3	6.965|4.604|4.807|.|.|.|0.329|.|0.938	0.013	0.014	0.013	0.014	0.013	-4.356	2.441	0.888	
ACTB	FAM168B	FAM168B	0.354|0.317|0.401	1.072	0.357	3	.|0.453|0.767|0.346|0.313|0.359|.|0.293|0.330	0.000	0.000	0.000	0.000	0.000	-11.564	0.923	0.978	
ACTB	MEX3A	MEX3A	0.908|.|0.410	2.163	0.721	3	.|1.150|.|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-17.026	0.627	0.983	
ACTB	PLEKHG3	PLEKHG3	3.396|3.226|3.450	10.073	3.358	3	1.766|1.992|1.557|.|.|.|.|.|.	0.008	0.009	0.008	0.009	0.008	-5.213	1.905	0.927	
ACTB	SH3PXD2B	SH3PXD2B	3.485|3.145|3.710	10.341	3.447	3	3.003|2.781|2.075|.|0.164|.|0.245|0.347|.	0.022	0.024	0.022	0.024	0.022	-3.875	4.367	0.824	
ACTB	NBAS	NBAS	0.316|.|0.460	1.621	0.540	3	1.116|0.518|0.848|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-17.026	0.685	0.985	
ACTB	VWA8	VWA8	2.218|.|.	3.907	1.302	3	3.305|3.475|.|.|.|.|.|0.063|.	0.004	0.012	0.004	0.012	0.004	-4.822	1.452	0.945	
ACTB	SBNO1	SBNO1	1.645|0.663|2.302	4.609	1.536	3	6.182|5.625|6.157|.|.|.|0.342|0.321|.	0.005	0.008	0.005	0.008	0.005	-5.991	0.817	0.938	
