Bait	PreyGene	#Rep	AvgP	BFDR
ACTB	IGKV3-7	3	0.3333	0.3843
ACTB	IGLV3-9	3	0.3333	0.3843
ACTB	IGKV2-28	3	0.3333	0.3843
ACTB	IGHV3-49	3	0.3333	0.3843
ACTB	IGKV3D-20	3	0.3333	0.3843
ACTB	IGHV5-51	3	0.3333	0.3843
KRT8	TTC26	3	0.0041	0.8393
ACTB	UBA6	3	0.0305	0.7523
CTNNA1	UBA6	3	0.0114	0.8088
KRT8	UBA6	3	0.0488	0.7264
LMNA	UBA6	3	0.0067	0.8281
MAPRE3	UBA6	3	0.0012	0.8539
ACTB	ESYT2	3	0.0034	0.8424
KRT8	ESYT2	3	0.2336	0.5592
LMNA	ESYT2	3	0.0026	0.846
ACTB	UHRF1BP1L	3	0.0139	0.7977
CTNNA1	UHRF1BP1L	3	0.0004	0.8609
KRT8	UHRF1BP1L	3	0.0208	0.7732
LMNA	UHRF1BP1L	3	0.0009	0.856
MAPRE3	UHRF1BP1L	3	0.0042	0.8388
ACTB	SHTN1	3	0.3544	0.3383
CTNNA1	SHTN1	3	0.1958	0.5927
KRT8	SHTN1	3	0.3289	0.4563
LMNA	SHTN1	3	0.1316	0.6479
MAPRE3	SHTN1	3	0.2949	0.4933
ACTB	FAM168B	3	0.0288	0.7551
CTNNA1	FAM168B	3	0.021	0.7727
KRT8	FAM168B	3	0.0461	0.7301
LMNA	FAM168B	3	0.0073	0.8256
MAPRE3	FAM168B	3	0.0068	0.8277
ACTB	MEX3A	3	0.003	0.8442
KRT8	ILVBL	3	0.0683	0.7054
ACTB	PLEKHG3	3	0.9753	0.0015
CTNNA1	PLEKHG3	3	0.0003	0.8621
KRT8	PLEKHG3	3	0.025	0.7637
ACTB	SH3PXD2B	3	0.349	0.3509
CTNNA1	SH3PXD2B	3	0.0976	0.6774
KRT8	SH3PXD2B	3	0.2518	0.5421
LMNA	SH3PXD2B	3	0.1505	0.6314
MAPRE3	SH3PXD2B	3	0.2574	0.5359
ACTB	PIPSL	3	0.022	0.7702
KRT8	PIPSL	3	0.1125	0.6641
LMNA	ZNF320	3	1	0
ACTB	NBAS	3	0.0055	0.833
KRT8	NBAS	3	0.0384	0.7398
LMNA	NBAS	3	0.0008	0.8571
KRT8	CCDC66	3	0.004	0.8397
MAPRE3	CCDC66	3	0.0055	0.833
ACTB	VWA8	3	0.1224	0.6563
KRT8	VWA8	3	0.0504	0.7246
ACTB	SBNO1	3	0.146	0.6354
CTNNA1	SBNO1	3	0.019	0.7787
KRT8	SBNO1	3	0.069	0.7045
LMNA	SBNO1	3	0.2625	0.5313
MAPRE3	SBNO1	3	0.0977	0.6772
KRT8	GTPBP10	3	1	0
ACTB	POTEF	3	0.9996	0
LMNA	POTEF	3	0.0617	0.7124
LMNA	PEDS1	3	0.3333	0.3843
ACTB	CNOT1	3	0.022	0.7702
CTNNA1	CNOT1	3	0.0002	0.8634
KRT8	CNOT1	3	0.0195	0.7772
MAPRE3	CNOT1	3	0.0065	0.8289
KRT8	KRT87P	3	0.0593	0.7147
ACTB	FAM83G	3	0.3333	0.3843
