Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	boosted_by
ACTB	A0AVT1	UBA6	1|4|2	7	2.33	3	5|4|7|9|10|10|8|7|12	0.00	0.00	0.00	0.00	0.00	-31.98	0.29	0.75	
ACTB	A0JNW5	UHRF1BP1L	31|32|35	98	32.67	3	40|47|48|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-13.14	2.18	0.70	
ACTB	A0MZ66	SHTN1	46|57|44	147	49.00	3	38|40|40|0|0|0|3|0|4	0.29	0.73	0.29	0.73	0.29	-2.99	3.53	0.38	
ACTB	A1KXE4	FAM168B	1|1|1	3	1.00	3	0|1|2|2|2|1|0|2|1	0.00	0.00	0.00	0.00	0.00	-4.32	0.82	0.75	
ACTB	A1L020	MEX3A	1|0|1	2	0.67	3	0|1|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-1.93	6.00	0.75	
ACTB	A1L390	PLEKHG3	24|21|22	67	22.33	3	9|9|8|0|0|0|0|0|0	0.94	0.96	0.94	0.96	0.94	2.63	7.73	0.02	
ACTB	A1X283	SH3PXD2B	16|15|16	47	15.67	3	11|10|11|0|1|0|1|1|0	0.71	0.73	0.71	0.73	0.71	0.66	4.03	0.10	
ACTB	A2RRP1	NBAS	1|0|2	3	1.00	3	4|4|3|0|0|0|0|0|0	0.03	0.09	0.03	0.09	0.03	-5.58	0.82	0.59	
ACTB	A3KN83	SBNO1	5|4|7	16	5.33	3	60|55|47|0|0|0|1|1|0	0.00	0.00	0.00	0.00	0.00	-65.27	0.29	0.75	
ACTB	A5A3E0	POTEF	1|3|0	4	1.33	3	0|0|0|0|0|0|0|1|0	0.33	0.99	0.33	0.99	0.33	-1.93	12.00	0.33	
ACTB	A5YKK6	CNOT1	37|39|63	139	46.33	3	37|61|49|0|0|0|0|0|0	0.17	0.50	0.17	0.50	0.17	-11.86	2.84	0.47	
ACTB	A6NDU8	C5orf51	1|0|1	2	0.67	3	0|1|2|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-2.76	2.00	0.75	
ACTB	A6NHG4	DDTL	4|4|2	10	3.33	3	4|2|3|0|0|0|0|0|0	0.41	0.54	0.41	0.54	0.41	-1.67	3.33	0.26	
ACTB	A6NHL2	TUBAL3	2|1|1	4	1.33	3	1|3|1|2|1|1|1|1|1	0.01	0.04	0.01	0.04	0.01	-4.72	1.00	0.62	
ACTB	A6NHR9	SMCHD1	4|1|5	10	3.33	3	27|22|18|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-28.33	0.45	0.75	
ACTB	A6NI28	ARHGAP42	9|6|9	24	8.00	3	1|0|0|0|0|0|0|0|0	1.00	1.00	1.00	1.00	1.00	9.33	72.00	0.00	
ACTB	A8CG34	POM121C	2|2|4	8	2.67	3	10|15|14|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-13.24	0.62	0.75	
