Protein	ACTB_1	ACTB_2	ACTB_3	CTNNA1_1	CTNNA1_2	CTNNA1_3	EGFP_1	EGFP_2	EGFP_3	Empty_1	Empty_2	Empty_3	KRT8_1	KRT8_2	KRT8_3	LMNA_1	LMNA_2	LMNA_3	MAPRE3_1	MAPRE3_2	MAPRE3_3	NminiTurbo_1	NminiTurbo_2	NminiTurbo_3
IGLV3-9;IGLV3-21	0	0	133.9659729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGKV2-28;IGKV2D-29;IGKV2D-30;IGKV2-40;IGKV2D-26;IGKV2-29;IGKV2D-40;IGKV2D-28;IGKV2-30	0	0	367.9473267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGKV3D-15	0	0	408.3348389	0	0	0	0	0	0	0	0	0	0	15.07232094	0	0	0	0	0	0	0	0	0	0
IGKV3D-11;IGKV3-11	0	0	346.8728333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-49	0	0	328.5253296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGHV3-74;IGHV3-66;IGHV3-23;IGHV3-53;IGHV3-30;IGHV3-33;IGHV3-30-3;IGHV3-30-5	0	0	118.3021088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGKV3D-20	0	0	963.2366943	0	0	0	0	0	0	0	0	0	0	0	0	25.14335442	26.72220802	0	0	0	0	0	0	0
IGHV5-51	0	0	69.35564423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NBDY	10.59366608	6.026323318	10.67137527	2.521077156	7.34747076	0	14.3116312	13.09983826	17.17660141	4.520900726	0	0	12.2777462	8.301900864	17.21758652	0	19.22286987	1.720348835	3.008811712	5.370630741	0	2.375957489	0	0
BRD3OS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208.607254	0	62.73845673	0	0	0	0	0	0
C13orf42	10.56115532	144.5372772	48.86415863	13.17311382	101.818428	226.6201019	122.7869949	36.04014206	54.81461334	216.7090759	0	212.2815552	187.5881042	27.97961998	243.1230774	204.9989777	109.7520142	202.7673035	15.74113655	158.3024597	162.116394	111.2783356	176.0821838	25.16377449
IFT56	8.825071335	0	9.104486465	0	2.794532776	0	7.628997803	12.54762077	22.81852722	0	0	0	18.73274231	20.21033287	40.06535721	4.070886135	6.249603748	0	0	0	3.097393036	0	0	0
UBA6	153.5319366	121.658638	238.8470612	55.70811844	49.29104614	47.28680038	240.6208496	259.2694702	359.1012268	51.82505417	82.88408661	43.31161118	169.7786865	206.2202148	336.0620422	79.02792358	131.7388306	42.20705795	96.41318512	81.32470703	101.1774445	29.05982208	63.3711319	42.03873444
ESYT2	73.07003021	53.17185211	85.22132874	12.18037796	17.72167206	14.49198151	139.9433136	144.8478699	207.5666809	7.292009354	6.122167587	5.906111717	196.9570618	196.4913635	198.9059753	49.38489914	87.28182983	39.00521088	32.5382843	34.40943909	24.51318741	7.241411209	10.03003311	10.78364658
BLTP3B	165.7435303	169.8289185	266.4339294	20.45565987	28.1941967	24.59832954	263.0173035	299.7625122	341.4167175	0	0	0	259.1664429	250.2389679	398.1447449	28.63029289	39.77627182	20.91267395	59.17197418	59.08857346	72.48023987	6.351014614	5.156538963	7.434496403
IGLC7;IGLC6;IGLC2;IGLC3	0	0	1809.829102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.55853653	0	0	0	0	0
SHTN1	915.1705933	837.6904907	1176.334473	73.44752502	117.5450668	98.18977356	743.2907104	755.5986938	841.546875	0	6.961893559	0	553.7105713	527.1410522	810.1802368	106.4417267	145.7315826	57.9605217	331.5170898	397.3131409	302.683136	15.73049641	12.79855537	21.00194359
TMEM223	29.41769409	31.89628601	20.21537209	15.49096394	18.8346405	4.437594891	34.37109375	22.6301384	0	17.40311623	16.89112282	10.53944206	69.0742569	72.00898743	0	48.66165924	89.32623291	33.19262695	20.30846977	0	13.33949566	0	17.51027107	13.88528824
FAM168B	32.62045288	27.66584778	64.63135529	32.24808502	53.50776672	22.09791756	6.418065071	75.03701019	136.8671722	57.23914337	34.78676987	42.23506165	117.1515121	59.900177	133.3036957	59.66921234	75.26420593	25.85214043	0	0	575.9663086	24.23738861	22.19138336	33.61023331
MEX3A	20.53150749	16.2334404	29.50359726	4.454917908	8.09579277	0	47.13333511	43.92577362	46.26256561	0	0	7.188693047	32.0774498	44.43676376	57.6040802	13.79862309	19.61445236	12.54815769	12.73098087	6.3224473	5.598402023	0	0	0
ILVBL	20.59429169	11.9979105	9.381890297	0	0	0	20.35286903	27.03775787	43.34183502	0	0	0	21.84343338	33.44078445	46.85958481	7.882192612	14.81426907	4.878315449	2.404625893	3.358692169	5.534844398	0	0	0
PLEKHG3	296.3554077	243.4502869	406.2365417	18.24170685	11.50486565	9.906903267	95.53150177	105.6229858	88.74902344	0	0	0	126.1881027	99.38567352	156.9990845	15.43201637	16.35249519	4.133697033	13.59197998	18.6386528	10.40279579	0	0	0
SH3PXD2B	821.5863037	662.4772949	867.1442871	44.5919838	85.17712402	72.03437042	589.2506714	464.9108887	437.2063599	0	13.57500267	0	502.0638428	437.8813782	596.7946167	100.9904556	186.7294769	53.77468109	520.3703003	522.93396	468.9257507	13.33119774	12.55348015	14.00828743
ZNF320	0	3.18081665	7.620668411	0	0	0	15.68972683	37.76588821	62.57067108	0	0	0	7.076061249	0	7.347358704	16.38620377	23.63420105	13.42692375	0	0	5.707795143	0	0	0
NBAS	43.28734207	47.93284988	75.6015625	4.564034462	5.485613823	5.107365608	83.44273376	110.2684937	142.0358887	0	0	0	54.12748718	74.15544891	82.19473267	15.74440384	28.01966476	14.67270374	13.39998055	14.03304863	15.09501171	0	0	4.676261425
HMX2	0	11.65672493	69.94744873	0	8.06498909	0	56.10005188	77.358284	80.32719421	0	8.621853828	0	0	29.90843773	55.16212463	0	0	9.081459045	5.591596127	0	0	0	0	0
CCDC66	18.06600571	14.8751936	36.73574448	0	0	0	29.98288155	41.07021713	55.78655624	0	0	0	31.06928253	30.6792984	51.06378937	4.01091671	0	0	32.62171936	29.03164482	25.89234924	0	0	0
DENND3	59.55725861	40.94710922	80.66509247	4.271991253	0	11.77448559	57.57048416	48.9516983	52.31247711	0	0	0	46.01194382	53.02424622	58.26568222	7.797060013	22.77031136	13.67551422	18.23141479	17.13374329	5.234292507	0	0	0
TMEM131L	22.13680649	16.89986801	30.66366577	0	1.945265293	0	39.91585159	49.21820831	97.67737579	0	0	0	44.49050903	32.98673248	38.81024933	27.98634529	61.76041031	25.60358429	9.28719902	11.34133339	8.187566757	0	0	0
VWA8	18.50071907	739.272522	639.3631592	2.025267839	7.172795773	0	213.4593353	309.9790955	137.3515625	0	0	6.3045578	209.1712036	149.9124146	256.8624878	15.59667873	18.39035416	7.708621979	1.045460224	6.096343994	17.22221184	7.991300583	3.751256466	4.598919868
SBNO1	80.46686554	72.95953369	125.496048	10.44221878	18.07975769	16.66816521	673.8221436	661.7017822	748.2069092	0	0	0	60.34616852	65.0282135	87.15970612	636.9888916	1048.331055	536.4574585	43.14026642	40.79667664	34.37147522	11.99406338	12.72201824	14.29620457
GTPBP10	8.458953857	8.868217468	13.16778851	0	0	0	14.43840408	25.87216568	61.00453949	0	9.80068779	0	60.2387619	62.93406677	97.62779999	3.825573444	28.58695984	13.13077354	2.014511108	6.418037415	10.19652176	0	4.832625866	3.757301331
WDR91	36.09002686	30.11444855	76.67630768	4.625872612	5.782928467	13.62188435	44.10278702	62.83834457	120.7042389	8.128246307	7.252532959	5.322618008	47.0918045	64.72406769	86.8236084	9.503703117	20.87976456	9.254951477	11.39246082	11.88199043	11.3588562	2.734318733	7.456623554	7.972159386
PEDS1	90.81065369	34.89574814	93.43937683	0	0	0	97.59024811	59.6969986	124.317482	0	0	0	37.7812767	0	64.21665192	60.53361893	77.46876526	32.26881409	0	0	0	0	0	0
CNOT1	436.8588562	401.961853	577.7993164	40.41778564	41.85652924	30.90032387	449.5875244	714.0953369	785.229248	0	5.199800014	5.579525471	566.7141113	535.4812012	636.0020142	39.83074188	87.98754883	42.23410797	123.6117554	137.897644	136.1369476	7.59788847	8.155408859	7.688705444
BDP1	3.602696419	0	6.404024601	0	0	0	101.601181	107.0831451	105.4437485	0	0	0	61.08530045	163.0885468	1.961507797	39.28553009	59.99006271	39.58691025	7.684829235	0	1.554385185	0	0	0
RNF222	768.4358521	1212.770142	1055.461548	0	99.72209167	194.9964142	5031.089355	1641.065796	1458.745605	0	0	0	1560.86853	1095.490601	1388.977417	520.9699707	1974.637085	432.2416077	706.6900635	0	793.258606	0	0	0
FAM83G	18.71760559	25.48647118	40.97270966	0	6.386344433	0	31.28560638	35.51010895	39.15899277	0	0	6.614479065	85.35476685	97.36540222	140.2167816	14.69486713	10.12253189	4.652647495	35.80111694	26.65865898	28.5200634	0	0	0
PGP	4.690290928	14.7425108	4.812751293	4.057775497	2.686799526	0	3.739752769	5.960264683	19.49884415	0	3.9158988	0	5.876787186	10.61449528	13.0996418	7.565001488	4.372101784	0	7.630161285	0	9.217681885	3.886090755	4.158855438	4.440772057
RIMOC1	11.46236515	13.90788269	25.04991913	0	2.642631054	4.889334679	17.76183128	29.68826294	57.8834343	0	1.013858795	0	16.90024185	24.83423233	26.19643402	9.785346985	15.22373104	15.65294838	4.641812325	4.181697845	4.013484478	0	0	0
ZNF316	0	0	0	0	0	0	28.80334854	16.5835743	7.567893028	0	0	0	0	0	0	7.896876335	14.83201122	5.894418716	1.492198467	0	0	0	0	0
TUBAL3	155.9311371	69.73818207	152.4219666	18.63091278	23.34772873	39.0090332	158.5194244	134.9359589	253.010376	9.07068634	13.34498787	11.96514797	164.8004456	157.6622772	281.8295288	87.77110291	99.15092468	85.80357361	23.75616837	29.94954681	18.70441437	7.016894817	14.16155243	15.22934151
FBLL1	1841.864258	672.1824341	1413.227295	773.1756592	482.7058105	168.9256134	2092.537842	1389.406494	1519.47876	0	614.9627686	0	1611.498413	1399.349487	1824.335815	830.8210449	1752.607544	781.1595459	457.7571716	358.7181396	459.5310364	0	469.0378723	0
SMCHD1	37.24063492	39.20145798	68.25060272	5.301986694	7.850187302	10.85028076	229.4925537	168.8334045	232.3457031	0	4.148208618	0	53.34710693	45.68822861	53.97047424	76.81598663	127.5339661	81.45570374	31.33490181	56.21295166	35.18077087	4.697632313	5.380637169	4.695438385
ARHGAP42	247.8824463	210.4614258	311.2284546	8.677734375	7.479334831	9.903536797	76.60254669	94.35507965	129.9431152	0	0	0	81.87809753	84.0260849	125.0358353	13.96913719	15.88745785	10.76917839	18.4435482	16.96513939	25.53090286	0	0	0
CCDC85C	120.7505264	74.52857208	145.3530731	17.06178284	22.12811089	37.38453674	104.3826752	92.45529175	128.3274384	0	0	0	101.6810989	110.6941605	169.741333	16.13186264	15.69139481	7.640554428	29.78455162	32.17573929	27.11372375	0	0	0
SAC3D1	0	3.734627008	4.678775787	0	31.57343292	0	26.31568909	36.77595901	28.16192245	5.512597084	13.58138084	13.79860115	10.15235329	23.52910995	39.3075943	17.73697281	26.3898716	16.11931419	14.02919006	0	15.65000439	17.73252869	31.22725677	12.11558914
RGPD3	1796.499268	1592.599854	2590.883545	274.1952209	336.6883545	345.5751648	3832.864014	4319.276855	4788.412598	30.4238987	38.17063522	36.58129883	3387.303467	3421.889648	4122.697266	510.8366089	872.6282959	477.1467896	588.5759277	616.4454346	668.8257446	55.25646591	98.6008606	105.9343414
ZSWIM8	32.27815628	35.03308487	56.23899841	8.307296753	1.989082932	0	58.30389404	52.85606003	87.19966888	0	0	0	79.84514618	81.93428802	118.5789566	10.49938774	25.11763382	13.87454033	17.98463249	14.94674206	9.389075279	0	0	0
ARHGAP32	69.0668869	71.38922119	100.8955765	32.25600815	62.11111832	40.62985229	87.14090729	94.12667084	134.4912415	0	0	0	135.338974	117.0771408	241.7033691	0	124.951355	0	20.05513	38.93737793	31.73638535	0	0	0
POM121C	36.97698975	28.77505684	49.76742172	0	4.210733891	0	210.2001801	212.661499	279.3219604	0	0	0	46.82833099	36.1554451	72.9132843	566.8482056	682.5508423	456.0586853	6.847129822	11.1084795	6.084611416	0	7.207559109	6.102501869
WASHC1;WASH3P;WASH2P	65.90219116	54.28510666	106.6139832	0	0	0	21.50748444	29.36194229	56.59728241	0	0	0	40.10002899	43.13085175	55.07830429	0	0	0	0	0	0	0	0	0
A2ML1	0	0	75.40050507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.43843842	0	0	0	0	0
DDX11L8	40.53399277	43.30129242	38.32946396	0	0	0	85.97001648	92.6889801	89.13668823	0	0	0	55.072052	28.19321442	25.07279015	116.2790833	186.9753113	85.12181854	19.26551628	24.22191238	18.52464294	0	0	2.740761757
CYSRT1	4.591417789	8.830295563	12.41237068	0	0	0	6.555845261	4.943137646	12.46447182	0	0	0	1.539613724	3.185898781	8.954116821	0	0	0	0	0	0	0	0	0
