Bait	Prey	PreyGene	Intensity	IntensitySum	AvgIntensity	NumReplicates	ctrlIntensity	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	OddsScore	FoldChange	BFDR	boosted_by
ACTB	NBDY	NBDY	0.411|0.284|0.413	1.109	0.370	3	0.500|0.472|0.564|0.236|.|.|0.155|.|.	0.000	0.000	0.000	0.000	0.000	-10.735	1.072	0.999	
ACTB	C13orf42	C13orf42	0.410|2.267|1.116	3.793	1.264	3	2.038|0.915|1.203|2.953|.|2.914|1.911|2.579|0.724	0.000	0.000	0.000	0.000	0.000	-16.270	0.745	0.999	
ACTB	IFT56	IFT56	0.365|.|0.372	1.589	0.530	3	0.332|0.459|0.679|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-10.932	1.129	0.999	
ACTB	UBA6	UBA6	2.358|2.025|3.147	7.530	2.510	3	3.162|3.320|4.107|1.160|1.576|1.032|0.795|1.323|1.012	0.000	0.000	0.000	0.000	0.000	-9.550	1.529	0.999	
ACTB	ESYT2	ESYT2	1.452|1.180|1.605	4.236	1.412	3	2.219|2.270|2.871|0.322|0.287|0.281|0.321|0.397|0.416	0.000	0.000	0.000	0.000	0.000	-8.316	2.182	0.997	
ACTB	BLTP3B	BLTP3B	2.479|2.518|3.380	8.377	2.792	3	3.351|3.650|3.974|.|.|.|0.294|0.257|0.326	0.000	0.000	0.000	0.000	0.000	-8.013	2.709	0.997	
ACTB	SHTN1	SHTN1	7.567|7.142|8.916	23.626	7.875	3	6.606|6.677|7.164|.|0.313|.|0.532|0.465|0.643	0.001	0.001	0.001	0.001	0.001	-6.829	5.313	0.983	
ACTB	TMEM223	TMEM223	0.801|0.845|0.627	2.273	0.758	3	0.887|0.675|.|0.569|0.558|0.410|.|0.571|0.491	0.000	0.000	0.000	0.000	0.000	-9.921	1.309	0.999	
ACTB	FAM168B	FAM168B	0.857|0.770|1.340	2.967	0.989	3	0.296|1.477|2.187|1.238|0.894|1.015|0.706|0.667|0.874	0.000	0.000	0.000	0.000	0.000	-10.667	1.083	0.999	
ACTB	MEX3A	MEX3A	0.634|0.543|0.803	1.980	0.660	3	1.090|1.041|1.077|.|.|0.319|.|.|.	0.000	0.000	0.000	0.000	0.000	-11.362	0.835	0.999	
ACTB	ILVBL	ILVBL	0.635|0.446|0.380	1.461	0.487	3	0.630|0.758|1.032|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-12.789	0.616	0.999	
ACTB	PLEKHG3	PLEKHG3	3.623|3.186|4.452	11.261	3.754	3	1.729|1.847|1.648|.|.|.|.|.|.	0.000	0.001	0.000	0.001	0.000	-8.423	2.158	0.997	
ACTB	SH3PXD2B	SH3PXD2B	7.052|6.127|7.306	20.485	6.828	3	5.676|4.862|4.671|.|0.483|.|0.478|0.459|0.494	0.001	0.001	0.001	0.001	0.001	-6.787	5.198	0.980	
ACTB	NBAS	NBAS	1.031|1.102|1.484	3.618	1.206	3	1.583|1.899|2.241|.|.|.|.|.|0.241	0.000	0.000	0.000	0.000	0.000	-9.519	1.068	0.999	
ACTB	CCDC66	CCDC66	0.583|0.513|0.926	2.022	0.674	3	0.811|0.996|1.217|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-12.486	0.678	0.999	
ACTB	DENND3	DENND3	1.270|0.994|1.549	3.813	1.271	3	1.242|1.117|1.167|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-10.652	1.082	0.999	
ACTB	TMEM131L	TMEM131L	0.665|0.558|0.823	2.047	0.682	3	0.978|1.121|1.755|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-13.097	0.548	0.999	
ACTB	VWA8	VWA8	0.592|6.583|5.987	13.161	4.387	3	2.924|3.731|2.192|.|.|0.293|0.342|0.209|0.238	0.002	0.003	0.002	0.003	0.002	-11.262	5.944	0.970	
ACTB	SBNO1	SBNO1	1.546|1.450|2.067	5.063	1.688	3	6.196|6.123|6.634|.|.|.|0.446|0.463|0.500	0.000	0.000	0.000	0.000	0.000	-8.890	0.980	0.998	
