Bait	PreyGene	#Rep	AvgP	BFDR
ACTB	IGLV3-9;IGLV3-21	3	0.3329	0.5917
ACTB	IGKV2-28;IGKV2D-29;IGKV2D-30;IGKV2-40;IGKV2D-26;IGKV2-29;IGKV2D-40;IGKV2D-28;IGKV2-30	3	0.3333	0.5889
ACTB	IGKV3D-15	3	0.3333	0.5889
KRT8	IGKV3D-15	3	0.1436	0.7585
ACTB	IGKV3D-11;IGKV3-11	3	0.3333	0.5889
ACTB	IGHV3-49	3	0.3333	0.5889
ACTB	IGHV3-74;IGHV3-66;IGHV3-23;IGHV3-53;IGHV3-30;IGHV3-33;IGHV3-30-3;IGHV3-30-5	3	0.3326	0.5926
ACTB	IGKV3D-20	3	0.3333	0.5889
LMNA	IGKV3D-20	3	0.4863	0.3176
ACTB	IGHV5-51	3	0.3295	0.5970
ACTB	NBDY	3	0.1304	0.7673
CTNNA1	NBDY	3	0.0433	0.8375
KRT8	NBDY	3	0.1751	0.7368
LMNA	NBDY	3	0.0872	0.7988
MAPRE3	NBDY	3	0.0357	0.8451
LMNA	BRD3OS	3	0.6604	0.1662
ACTB	C13orf42	3	0.0505	0.8305
CTNNA1	C13orf42	3	0.0788	0.8054
KRT8	C13orf42	3	0.1032	0.7868
LMNA	C13orf42	3	0.1203	0.7740
MAPRE3	C13orf42	3	0.0789	0.8054
ACTB	IFT56	3	0.0427	0.8381
CTNNA1	IFT56	3	0.0028	0.8702
KRT8	IFT56	3	0.1868	0.7288
LMNA	IFT56	3	0.0194	0.8575
MAPRE3	IFT56	3	0.0035	0.8694
ACTB	UBA6	3	0.1242	0.7714
CTNNA1	UBA6	3	0.0253	0.8535
KRT8	UBA6	3	0.1683	0.7411
LMNA	UBA6	3	0.0548	0.8266
MAPRE3	UBA6	3	0.0632	0.8186
ACTB	ESYT2	3	0.2130	0.7113
CTNNA1	ESYT2	3	0.0548	0.8266
KRT8	ESYT2	3	0.3335	0.5885
LMNA	ESYT2	3	0.1888	0.7273
MAPRE3	ESYT2	3	0.1239	0.7716
ACTB	BLTP3B	3	0.2922	0.6445
CTNNA1	BLTP3B	3	0.1333	0.7654
KRT8	BLTP3B	3	0.3338	0.5879
LMNA	BLTP3B	3	0.1498	0.7540
MAPRE3	BLTP3B	3	0.2173	0.7082
ACTB	IGLC7;IGLC6;IGLC2;IGLC3	3	0.3333	0.5889
MAPRE3	IGLC7;IGLC6;IGLC2;IGLC3	3	0.0127	0.8620
ACTB	SHTN1	3	0.3846	0.4930
CTNNA1	SHTN1	3	0.1631	0.7447
