Bait	PreyGene	#Rep	#Pep	#Frag	AvgP	BFDR
ACTB	A2M	3	6	13|13|13|13|13|13	0.3333	0.2523
ACTB	A2ML1	3	5	13|13|13|13|13	0.3333	0.2523
ACTB	AAAS	3	15	13|13|13|13|13|13|26|13|13|26|13|12|13|13|26	0.8267	0.0610
CTNNA1	AAAS	3	15	13|13|13|13|13|13|26|13|13|26|13|12|13|13|26	0.5426	0.1664
KRT8	AAAS	3	15	13|13|13|13|13|13|26|13|13|26|13|12|13|13|26	0.7754	0.0767
LMNA	AAAS	3	15	13|13|13|13|13|13|26|13|13|26|13|12|13|13|26	0.9801	0.0106
MAPRE3	AAAS	3	15	13|13|13|13|13|13|26|13|13|26|13|12|13|13|26	0.2868	0.3390
ACTB	AAGAB	3	5	13|13|13|13|13	0.8480	0.0545
KRT8	AAGAB	3	5	13|13|13|13|13	0.9664	0.0207
MAPRE3	AAGAB	3	5	13|13|13|13|13	0.1493	0.4148
ACTB	AAK1	3	18	13|13|13|13|26|13|26|13|13|13|13|13|13|13|13|13|13|13	0.9652	0.0213
CTNNA1	AAK1	3	18	13|13|13|13|26|13|26|13|13|13|13|13|13|13|13|13|13|13	0.4452	0.2083
KRT8	AAK1	3	18	13|13|13|13|26|13|26|13|13|13|13|13|13|13|13|13|13|13	0.9657	0.0211
LMNA	AAK1	3	18	13|13|13|13|26|13|26|13|13|13|13|13|13|13|13|13|13|13	0.1966	0.3772
MAPRE3	AAK1	3	18	13|13|13|13|26|13|26|13|13|13|13|13|13|13|13|13|13|13	0.7284	0.0943
LMNA	AAMDC	3	1	13	0.6663	0.1126
ACTB	AAR2	3	6	13|13|12|13|26|13	0.6027	0.1464
KRT8	AAR2	3	6	13|13|12|13|26|13	0.9972	0.0007
LMNA	AAR2	3	6	13|13|12|13|26|13	0.6873	0.1064
ACTB	AARD	3	2	13|13	0.1667	0.3865
LMNA	AARD	3	2	13|13	0.1639	0.4039
ACTB	AARS1	3	14	13|13|13|13|13|26|13|13|13|13|13|26|13|13	0.8707	0.0471
CTNNA1	AARS1	3	14	13|13|13|13|13|26|13|13|13|13|13|26|13|13	0.0911	0.4557
KRT8	AARS1	3	14	13|13|13|13|13|26|13|13|13|13|13|26|13|13	0.8017	0.0693
LMNA	AARS1	3	14	13|13|13|13|13|26|13|13|13|13|13|26|13|13	0.0902	0.4561
MAPRE3	AARS1	3	14	13|13|13|13|13|26|13|13|13|13|13|26|13|13	0.3003	0.3348
ACTB	AARS2	3	5	13|13|13|13|13	0.2047	0.3741
CTNNA1	AARS2	3	5	13|13|13|13|13	0.1108	0.4356
KRT8	AARS2	3	5	13|13|13|13|13	0.4544	0.2056
LMNA	AARS2	3	5	13|13|13|13|13	0.3248	0.3129
ACTB	AARSD1	3	5	13|13|13|13|13	0.1070	0.4438
CTNNA1	AARSD1	3	5	13|13|13|13|13	0.3189	0.3220
KRT8	AARSD1	3	5	13|13|13|13|13	0.1111	0.4265
LMNA	AARSD1	3	5	13|13|13|13|13	0.1111	0.4265
LMNA	AASDH	3	6	13|13|13|13|13|13	0.9906	0.0037
MAPRE3	AASDH	3	6	13|13|13|13|13|13	0.1068	0.4442
ACTB	AASDHPPT	3	6	13|13|26|13|13|13	0.8307	0.0599
KRT8	AASDHPPT	3	6	13|13|26|13|13|13	0.9490	0.0267
LMNA	AASDHPPT	3	6	13|13|26|13|13|13	0.9603	0.0232
ACTB	AATF	3	9	13|13|12|13|13|13|13|12|13	0.0629	0.4691
LMNA	AATF	3	9	13|13|12|13|13|13|13|12|13	0.3158	0.3255
MAPRE3	AATF	3	9	13|13|12|13|13|13|13|12|13	0.0496	0.4742
CTNNA1	ABCA10	3	1	13	0.3314	0.2994
LMNA	ABCA12	3	2	12|13	0.1665	0.3953
MAPRE3	ABCA12	3	2	12|13	0.1666	0.3904
ACTB	ABCA3	3	1	13	0.3333	0.2523
ACTB	ABCA4	3	2	13|13	0.1667	0.3865
LMNA	ABCA4	3	2	13|13	0.1664	0.3977
MAPRE3	ABCA5	3	2	13|13	0.1667	0.3865
ACTB	ABCA7	3	3	13|13|13	0.1091	0.4398
MAPRE3	ABCA7	3	3	13|13|13	0.1109	0.4348
ACTB	ABCB10	3	2	13|13	0.1424	0.4167
KRT8	ABCB10	3	2	13|13	0.6642	0.1143
LMNA	ABCB10	3	2	13|13	0.1115	0.4264
MAPRE3	ABCB11	3	1	13	0.3333	0.2523
ACTB	ABCB4	3	2	11|13	0.1667	0.3865
LMNA	ABCB4	3	2	11|13	0.1666	0.3904
CTNNA1	ABCB5	3	4	13|13|13|13	0.1110	0.4327
LMNA	ABCB5	3	4	13|13|13|13	0.1105	0.4369
KRT8	ABCB6	3	2	13|13	0.3331	0.2825
ACTB	ABCB7	3	9	26|13|13|13|13|13|13|13|13	0.1928	0.3790
CTNNA1	ABCB7	3	9	26|13|13|13|13|13|13|13|13	0.1934	0.3787
KRT8	ABCB7	3	9	26|13|13|13|13|13|13|13|13	0.8389	0.0572
LMNA	ABCB7	3	9	26|13|13|13|13|13|13|13|13	0.9921	0.0030
MAPRE3	ABCB7	3	9	26|13|13|13|13|13|13|13|13	0.1248	0.4226
ACTB	ABCB8	3	1	13	0.3328	0.2902
ACTB	ABCC1	3	20	13|13|13|13|13|13|13|13|13|13|13|13|13|26|13|13|13|13|13|13	0.5150	0.1794
CTNNA1	ABCC1	3	20	13|13|13|13|13|13|13|13|13|13|13|13|13|26|13|13|13|13|13|13	0.1353	0.4188
