Bait	PreyGene	#Rep	#Pep	AvgP	BFDR
ACTB	0	3	12	0.9657	0.0226
CTNNA1	0	3	12	0.7567	0.0905
KRT8	0	3	12	0.9639	0.0237
LMNA	0	3	12	0.6992	0.1100
MAPRE3	0	3	12	0.9551	0.0284
ACTB	A2M	3	5	0.3333	0.2872
ACTB	A2ML1	3	3	0.3333	0.2872
ACTB	AAAS	3	14	0.7174	0.1033
CTNNA1	AAAS	3	14	0.3805	0.2644
KRT8	AAAS	3	14	0.7837	0.0823
LMNA	AAAS	3	14	0.9460	0.0322
MAPRE3	AAAS	3	14	0.1265	0.4283
ACTB	AAGAB	3	5	0.8224	0.0695
KRT8	AAGAB	3	5	0.9357	0.0355
MAPRE3	AAGAB	3	5	0.1216	0.4320
ACTB	AAK1	3	17	0.9587	0.0268
CTNNA1	AAK1	3	17	0.5143	0.1938
KRT8	AAK1	3	17	0.9530	0.0295
LMNA	AAK1	3	17	0.1922	0.3829
MAPRE3	AAK1	3	17	0.7677	0.0871
ACTB	AAR2	3	7	0.4132	0.2476
KRT8	AAR2	3	7	0.9374	0.0350
LMNA	AAR2	3	7	0.3020	0.3159
ACTB	AARS1	3	14	0.6205	0.1453
CTNNA1	AARS1	3	14	0.0339	0.5014
KRT8	AARS1	3	14	0.6101	0.1501
LMNA	AARS1	3	14	0.0455	0.4927
MAPRE3	AARS1	3	14	0.1393	0.4200
ACTB	AARS2	3	3	0.1556	0.4093
CTNNA1	AARS2	3	3	0.0236	0.5089
KRT8	AARS2	3	3	0.4607	0.2220
LMNA	AARS2	3	3	0.1914	0.3836
ACTB	AARSD1	3	3	0.0181	0.5136
CTNNA1	AARSD1	3	3	0.2095	0.3714
LMNA	AARSD1	3	3	0.1070	0.4434
LMNA	AASDH	3	4	0.5906	0.1594
MAPRE3	AASDH	3	4	0.0270	0.5065
ACTB	AASDHPPT	3	6	0.7589	0.0899
KRT8	AASDHPPT	3	6	0.9481	0.0315
LMNA	AASDHPPT	3	6	0.8901	0.0491
ACTB	AATF	3	6	0.0078	0.5220
LMNA	AATF	3	6	0.1171	0.4350
MAPRE3	AATF	3	6	0.0001	0.5332
ACTB	ABCB10	3	1	0.3333	0.2872
KRT8	ABCB10	3	1	1.0000	0.0000
LMNA	ABCB10	3	1	0.3333	0.2872
ACTB	ABCB7	3	10	0.1926	0.3827
CTNNA1	ABCB7	3	10	0.1753	0.3937
KRT8	ABCB7	3	10	0.8456	0.0625
LMNA	ABCB7	3	10	0.9782	0.0118
MAPRE3	ABCB7	3	10	0.1222	0.4316
ACTB	ABCC1	3	15	0.4963	0.2034
CTNNA1	ABCC1	3	15	0.1550	0.4098
KRT8	ABCC1	3	15	0.9788	0.0113
LMNA	ABCC1	3	15	0.5791	0.1646
MAPRE3	ABCC1	3	15	0.0771	0.4691
KRT8	ABCC3	3	2	0.3327	0.2946
LMNA	ABCC3	3	2	0.1666	0.4005
ACTB	ABCD1	3	18	0.6390	0.1370
CTNNA1	ABCD1	3	18	0.0594	0.4825
KRT8	ABCD1	3	18	0.9755	0.0146
LMNA	ABCD1	3	18	0.3628	0.2738
MAPRE3	ABCD1	3	18	0.2417	0.3514
ACTB	ABCD3	3	18	0.8748	0.0538
CTNNA1	ABCD3	3	18	0.3033	0.3148
KRT8	ABCD3	3	18	0.9823	0.0079
LMNA	ABCD3	3	18	0.9311	0.0369
MAPRE3	ABCD3	3	18	0.6566	0.1291
ACTB	ABCE1	3	12	0.9661	0.0224
CTNNA1	ABCE1	3	12	0.3133	0.3083
KRT8	ABCE1	3	12	0.9556	0.0281
LMNA	ABCE1	3	12	0.0534	0.4869
MAPRE3	ABCE1	3	12	0.6766	0.1193
ACTB	ABCF1	3	19	0.9708	0.0188
CTNNA1	ABCF1	3	19	0.8105	0.0733
KRT8	ABCF1	3	19	0.9696	0.0197
LMNA	ABCF1	3	19	0.8798	0.0523
MAPRE3	ABCF1	3	19	0.9400	0.0341
ACTB	ABCF2	3	17	0.9496	0.0308
CTNNA1	ABCF2	3	17	0.5860	0.1616
KRT8	ABCF2	3	17	0.9648	0.0232
LMNA	ABCF2	3	17	0.5960	0.1566
MAPRE3	ABCF2	3	17	0.9079	0.0436
ACTB	ABCF3	3	20	0.9516	0.0301
CTNNA1	ABCF3	3	20	0.0907	0.4572
KRT8	ABCF3	3	20	0.9571	0.0276
LMNA	ABCF3	3	20	0.1692	0.3982
MAPRE3	ABCF3	3	20	0.4336	0.2361
ACTB	ABHD12	3	2	0.3825	0.2632
CTNNA1	ABHD12	3	2	0.0806	0.4662
KRT8	ABHD12	3	2	0.2441	0.3502
LMNA	ABHD12	3	2	0.5636	0.1709
MAPRE3	ABHD12	3	2	0.1513	0.4123
ACTB	ABHD14B	3	1	0.1349	0.4228
KRT8	ABHD14B	3	1	0.1440	0.4172
ACTB	ABI1	3	7	0.9484	0.0312
CTNNA1	ABI1	3	7	0.6376	0.1377
KRT8	ABI1	3	7	0.8747	0.0539
LMNA	ABI1	3	7	0.1182	0.4342
MAPRE3	ABI1	3	7	0.5621	0.1715
ACTB	ABI2	3	2	0.2953	0.3203
CTNNA1	ABI2	3	2	0.0005	0.5315
KRT8	ABI2	3	2	0.6266	0.1429
ACTB	ABL1	3	8	0.6431	0.1354
KRT8	ABL1	3	8	0.2536	0.3442
LMNA	ABL1	3	8	0.0339	0.5014
MAPRE3	ABL1	3	8	0.1169	0.4352
ACTB	ABL2	3	10	0.8159	0.0717
CTNNA1	ABL2	3	10	0.0365	0.4996
KRT8	ABL2	3	10	0.4482	0.2285
LMNA	ABL2	3	10	0.1466	0.4155
MAPRE3	ABL2	3	10	0.3429	0.2831
ACTB	ABLIM1	3	24	0.9888	0.0034
CTNNA1	ABLIM1	3	24	0.2532	0.3444
KRT8	ABLIM1	3	24	0.9358	0.0354
LMNA	ABLIM1	3	24	0.1497	0.4132
MAPRE3	ABLIM1	3	24	0.4871	0.2085
ACTB	ABLIM3	3	12	0.9709	0.0188
CTNNA1	ABLIM3	3	12	0.5027	0.1993
KRT8	ABLIM3	3	12	0.8535	0.0599
LMNA	ABLIM3	3	12	0.0552	0.4858
MAPRE3	ABLIM3	3	12	0.2417	0.3514
ACTB	ABR	3	10	0.9581	0.0271
CTNNA1	ABR	3	10	0.2152	0.3673
KRT8	ABR	3	10	0.9630	0.0243
LMNA	ABR	3	10	0.7614	0.0892
MAPRE3	ABR	3	10	0.5920	0.1586
