Bait	Prey	PreyGene	Intensity	IntensitySum	AvgIntensity	NumReplicates	ctrlIntensity	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	OddsScore	FoldChange	BFDR	boosted_by
KRT8	IFT56	IFT56	0.372|.|0.467	1.747	0.582	3	.|.|.|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-14.052	0.641	0.998	
KRT8	UBA6	UBA6	1.522|1.809|2.584	5.915	1.972	3	1.841|1.925|2.310|0.967|1.438|0.797|0.768|0.522|0.773	0.001	0.002	0.001	0.002	0.001	-8.271	1.757	0.988	
KRT8	ESYT2	ESYT2	1.948|1.969|2.228	6.145	2.048	3	1.686|1.631|1.716|.|0.224|0.225|.|.|.	0.002	0.002	0.002	0.002	0.002	-6.387	2.729	0.979	
KRT8	BLTP3B	BLTP3B	3.984|2.526|3.237	9.748	3.249	3	2.736|2.720|2.718|.|.|0.088|.|.|.	0.001	0.002	0.001	0.002	0.001	-6.703	2.814	0.983	
KRT8	SHTN1	SHTN1	3.668|3.551|4.039	11.258	3.753	3	3.894|3.840|4.580|.|.|.|0.440|0.363|0.338	0.002	0.002	0.002	0.002	0.002	-6.414	3.018	0.979	
KRT8	TMEM223	TMEM223	0.612|.|.	2.428	0.809	3	.|0.808|0.769|0.262|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-9.012	1.483	0.997	
KRT8	MEX3A	MEX3A	0.535|1.065|0.541	2.141	0.714	3	0.495|0.649|0.599|.|.|.|.|.|.	0.000	0.001	0.000	0.001	0.000	-9.764	1.236	0.994	
KRT8	ILVBL	ILVBL	0.464|0.612|1.006	2.082	0.694	3	0.520|0.849|0.581|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-10.822	1.092	0.995	
KRT8	PLEKHG3	PLEKHG3	1.386|1.437|1.691	4.514	1.505	3	1.298|1.391|1.599|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-9.564	1.057	0.996	
KRT8	SH3PXD2B	SH3PXD2B	3.186|2.760|3.208	9.155	3.052	3	3.146|2.712|3.796|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-10.047	0.957	0.996	
KRT8	NBAS	NBAS	1.811|1.060|1.079	3.949	1.316	3	1.056|1.159|1.597|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-10.139	1.053	0.995	
KRT8	CCDC66	CCDC66	0.393|0.408|0.850	1.651	0.550	3	0.522|0.514|0.838|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-11.430	0.905	0.996	
KRT8	DENND3	DENND3	0.608|0.670|1.215	2.493	0.831	3	0.544|0.869|0.772|.|.|.|.|.|.	0.000	0.001	0.000	0.001	0.000	-10.121	1.163	0.994	
KRT8	TMEM131L	TMEM131L	0.556|0.480|0.652	1.688	0.563	3	0.533|.|0.889|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-10.902	0.818	0.997	
