Bait	Prey	PreyGene	Intensity	IntensitySum	AvgIntensity	NumReplicates	ctrlIntensity	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	OddsScore	FoldChange	BFDR	boosted_by
ACTB	A2M	A2M	0.933|0.913|1.167	3.013	1.004	3	0.324|1.801|2.169|0.477|1.425|1.077|0.195|0.605|0.474	0.001	0.001	0.001	0.001	0.001	-7.699	1.396	0.989	
ACTB	AAAS	AAAS	1.490|1.297|5.145	7.933	2.644	3	1.660|1.854|2.131|0.921|1.210|1.200|0.803|0.884|1.008	0.010	0.031	0.010	0.031	0.010	-9.397	2.156	0.894	
ACTB	AAGAB	AAGAB	1.303|0.943|1.358	3.604	1.201	3	1.473|1.225|1.975|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-12.077	0.787	0.996	
ACTB	AAK1	AAK1	3.025|2.401|4.361	9.786	3.262	3	3.518|3.616|4.921|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-12.202	0.822	0.996	
ACTB	AAR2	AAR2	0.310|0.289|0.356	0.955	0.318	3	0.332|0.366|0.477|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-11.029	0.822	0.996	
ACTB	AARS1	AARS1	0.925|1.144|1.658	3.728	1.243	3	0.989|1.093|0.999|.|.|.|.|.|.	0.000	0.001	0.000	0.001	0.000	-10.102	1.211	0.993	
ACTB	AARS2	AARS2	0.315|.|.	2.260	0.753	3	0.206|0.291|0.475|0.095|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-8.154	3.299	0.994	
ACTB	AASDHPPT	AASDHPPT	0.895|0.851|1.107	2.853	0.951	3	1.260|1.101|1.334|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-11.428	0.775	0.996	
ACTB	ABCA3	ABCA3	0.134|.|.	2.079	0.693	3	.|.|.|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-19.150	0.713	0.998	
ACTB	ABCA4	ABCA4	0.745|.|.	2.690	0.897	3	.|.|.|.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-10.900	0.922	0.997	
