Protein	ACTB_1	ACTB_2	ACTB_3	CTNNA1_1	CTNNA1_2	CTNNA1_3	EGFP_1	EGFP_2	EGFP_3	Empty_1	Empty_2	Empty_3	KRT8_1	KRT8_2	KRT8_3	LMNA_1	LMNA_2	LMNA_3	MAPRE3_1	MAPRE3_2	MAPRE3_3	NminiTurbo_1	NminiTurbo_2	NminiTurbo_3
A2M	7867.27	7647.22	10553.3	11271.3	4931.14	3093.09	1952.07	18694.6	23878.8	3252.1	13738.4	9504.32	11459.4	10518.3	10888.4	12060.4	15633.5	5512.17	3201.09	0	13319.4	999.026	4449.13	3227.09
A2ML1	0	0	7483.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5964.16	0	0	0	0	0	0
AAAS	14566.4	12137.4	74442.2	10259.3	13194.3	9284.29	16794.5	19413.5	23325.8	7728.25	11076.4	10956.3	18248.6	17035.5	26056.7	32204.9	49027.6	29099	10037.3	8569.23	7981.22	6454.19	7324.22	8710.24
AADAC	0	0	0	18876.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAGAB	12210.5	7979.22	12883.4	0	0	0	14340.5	11251.4	21102.8	0	0	0	10459.4	9046.24	15733.6	0	2908.11	0	2140.07	2398.07	0	0	0	0
AAK1	36988.5	27290.1	59873.4	7438.21	9460.37	5953.23	45128.9	46786	70201.8	0	0	0	36879.5	32446.3	65386.6	5419.15	6578.27	4381.13	15037.4	13618.5	14262.6	0	0	0
AAMDC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2725.08	0	883.025	0	0	0	0	0	0
AAR2	1841.05	1683.05	2213.06	0	0	0	2021.08	2295.06	3253.09	0	0	0	5417.32	5449.14	5505.26	938.026	1920.09	1076.03	0	0	0	0	0	0
AARS1	7777.27	10288.3	16766.5	1026.03	3483.12	578.018	8492.3	9690.36	8603.3	0	0	0	9414.31	8776.24	10391.3	0	6528.23	0	4794.16	978.04	5458.18	0	0	0
AARS2	1882.05	0	0	1173.03	0	0	1077.03	1699.04	3235.08	390.017	0	0	3417.12	1671.07	3483.08	0	2616.08	0	0	0	0	0	0	0
AARSD1	0	0	0	3726.09	3279.08	0	0	0	2373.09	954.035	0	0	0	0	0	0	4795.12	0	0	0	0	0	0	3354.09
AASDH	0	0	0	0	0	0	2964.1	2941.1	2469.1	0	0	0	5202.19	0	0	3876.12	12169.4	4099.14	0	0	499.016	0	0	0
AASDHPPT	7442.22	6964.21	9851.26	0	0	0	11674.3	9774.27	12585.4	0	0	0	9071.22	7798.25	14194.4	7549.23	13214.4	5854.16	0	1055.05	0	0	0	0
AASS	0	16551.4	0	0	0	0	10348.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AATF	0	0	0	0	0	0	8801.19	7293.16	9441.26	0	0	0	0	0	0	3366.08	711.024	1645.05	0	0	539.024	0	0	0
ABAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1763.06	0	0	0	0	0	0
ABCA12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	893.05	0	0	0	0	0	0
ABCA13	0	0	0	0	0	0	0	10408.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA2	0	0	0	0	0	0	0	5447.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA3	610.015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA4	5845.28	0	0	0	0	0	0	0	0	0	0	0	4201.2	0	0	0	0	0	0	0	0	0	0	0
ABCA5	0	0	0	0	0	0	0	28072.9	0	0	0	0	0	0	1407.05	0	0	0	0	0	17646.5	0	0	0
ABCA7	0	0	11424.3	0	0	0	0	5650.23	690.026	0	0	0	0	0	1772.08	0	0	0	2204.1	0	0	0	0	0
ABCA8	0	0	0	0	0	0	27554.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9	0	0	0	0	0	0	7006.24	0	0	0	0	0	7044.25	0	0	0	0	0	0	0	0	0	0	0
ABCB10	0	0	2868.07	0	0	0	0	0	0	0	0	0	2727.06	17927.5	3189.08	0	0	0	0	0	0	0	0	0
ABCB11	0	0	0	0	0	0	0	10571.4	0	0	0	0	0	0	0	0	0	0	0	2518.07	0	0	0	0
ABCB5	0	0	0	0	0	0	16971.4	4564.2	0	0	0	0	0	0	0	0	0	0	11034.3	0	0	0	0	0
ABCB6	0	0	0	0	0	0	0	0	0	0	0	0	0	953.036	1456.06	0	0	0	0	0	0	0	0	0
ABCB7	2569.07	3107.1	2385.07	0	1854.05	4143.12	2938.09	5804.16	5265.15	1780.06	0	0	16220.5	6156.18	31733	13432.4	21764.6	14685.4	0	0	1520.04	0	0	0
ABCB8	732.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC1	4320.09	7044.19	8114.22	650.023	2662.07	0	5202.13	9009.24	11486.3	0	0	0	10278.3	11545.3	9218.42	4279.1	6732.2	5228.15	3296.08	0	0	0	0	0
ABCC11	0	0	0	0	0	0	0	0	16400.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC2	3762.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC3	0	0	0	0	0	0	0	0	20609.5	0	0	0	0	469.02	0	0	1557.06	0	0	0	0	0	0	0
ABCC4	0	0	0	0	0	0	0	638.03	2370.06	0	0	0	0	0	3729.13	0	0	0	0	0	0	0	0	0
ABCC5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	492.011	0	0	0	0	0	0	0
ABCD1	7398.24	8123.24	9263.31	4534.14	0	0	12097.3	12109.4	14911.5	690.021	0	0	16139.5	17972.5	16224.5	4532.14	6075.25	5049.15	3072.09	2670.08	910.027	0	0	0
ABCD2	0	0	0	0	0	0	0	0	0	0	0	0	0	3231.16	0	0	0	0	0	0	0	0	0	0
ABCD3	17706.5	18047.5	22386.6	2364.07	2513.06	3402.08	31414.9	36822	53642.4	0	0	0	90286.4	106513	118003	20979.6	31850.9	26139.7	6236.16	8771.2	7125.19	1908.04	0	882.021
ABCE1	26575.6	22666.5	29970.7	10142.3	7979.2	6085.15	30857.8	29300.8	26467.7	0	0	0	22160.5	18431.5	17931.6	0	1468.06	0	15239.4	6826.21	14122.3	0	1774.05	2940.13
ABCF1	36450.1	33246.9	48963.3	12040.3	12772.4	8503.23	45941.3	47270.3	64747.7	0	1679.06	4522.12	25801.9	30813.8	36351	17213.5	20505.6	13324.3	19098.5	19698.5	19535.5	1804.06	1737.04	4175.1
ABCF2	56592.4	60214.5	68453.8	14015.6	13376.5	11054.4	85419.6	76999.8	91601.2	2891.11	3361.13	0	78689.9	78148.1	103713	17712.7	20718.8	16212.6	30553.2	27146	28220.1	0	0	4569.16
ABCF3	40326.9	32442.8	47170.2	6911.18	6289.17	4250.1	50893.4	43245	63555.6	0	0	0	39553	39361	61279.6	6728.19	8688.2	6933.19	13869.3	13810.4	13218.3	0	0	0
ABHD12	2661.07	2955.08	4235.12	1211.03	1095.03	0	1899.05	4322.12	6699.16	0	0	0	2244.05	2419.07	3633.09	4217.1	7809.2	4367.12	1613.04	1066.03	1674.04	0	0	0
ABHD14B	0	0	1763.06	0	0	0	0	0	1910.07	0	0	0	0	0	1866.06	0	914.031	0	0	0	0	0	0	0
ABHD16A	0	0	0	0	0	0	0	0	0	0	0	0	9590.41	0	0	0	2857.08	0	0	0	0	0	0	0
ABHD18	0	0	0	0	0	0	0	0	0	0	0	0	944.037	0	0	0	0	0	0	0	0	0	0	0
ABHD3	1755.05	0	0	0	0	0	0	0	0	0	0	0	967.035	0	0	0	0	0	0	0	0	0	0	0
ABI1	17237.5	13926.3	18503.6	4534.15	5606.18	4041.1	14653.5	16054.5	19178.6	1179.04	197.007	0	12686.4	13260.4	16281.5	3547.09	4699.14	0	6307.18	4032.11	5270.14	0	1790.05	0
ABI2	4417.14	0	3317.1	0	749.02	0	0	1603.05	3111.09	0	0	0	6458.23	2092.06	7275.24	0	0	0	0	0	0	0	0	0
ABI3BP	0	0	0	0	0	0	0	0	0	0	0	0	1122.05	0	0	0	0	0	0	0	0	0	0	0
ABL1	11906.5	9746.47	12678.5	0	0	0	5360.2	6322.27	7924.31	0	0	0	3636.14	3798.15	3848.14	856.032	869.035	842.029	1676.06	1594.06	1027.04	0	0	0
ABL2	9999.36	7695.19	15063.5	0	1280.03	0	9142.33	6905.26	6384.19	0	0	0	5303.15	5521.15	9829.29	1387.04	2133.06	1890.05	5008.14	4107.12	4060.11	0	0	0
ABLIM1	119419	85666.3	110734	4042.12	5405.14	3753.1	29175.9	23409.7	21132.9	906.027	0	0	27571.8	19613.5	36544	3261.09	4377.16	1503.04	6212.17	8691.22	5275.15	9178.22	1874.05	0
ABLIM2	0	0	0	0	0	0	0	0	0	589.015	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABLIM3	36726.2	32638.1	41874.4	7665.26	10512.4	5842.19	11503.4	11458.4	14879.5	0	0	0	24714.7	19670.6	26416.9	0	0	663.023	3639.12	2378.08	1771.07	0	0	0
ABR	7800.25	9344.3	12371.4	3056.08	1842.05	0	16433.6	19054.9	23805.1	0	0	0	9468.23	8169.31	10404.5	4734.15	6895.23	4683.14	2501.09	5176.16	4332.12	0	0	0
ABRA	0	0	0	0	0	0	0	0	0	0	0	0	0	1935.04	0	0	0	0	0	0	0	0	0	0
ABRAXAS1	0	0	0	0	0	0	21660.6	5347.22	7174.17	0	0	0	0	0	0	4573.11	2328.1	0	0	0	0	0	0	0
ABRAXAS2	4410.15	3363.1	3700.11	0	0	0	4447.12	5611.17	7595.25	0	0	0	4601.14	5168.15	6322.19	0	0	0	1873.06	0	0	0	0	0
ABTB2	5739.14	3517.09	7252.18	0	0	0	11406.4	12937.5	9057.22	0	0	0	10340.4	8225.3	9874.34	0	0	0	0	2980.09	0	0	0	0
ACAA1	1794.05	0	0	963.031	0	0	0	3254.1	3428.12	0	0	0	1729.05	0	2113.06	947.05	0	0	0	0	0	0	0	0
ACAA2	19019.5	0	0	0	0	0	9166.33	3994.15	6750.22	1242.04	0	0	0	0	0	0	2251.08	973.034	0	0	0	0	0	0
ACACA	1155340	936532	1494010	1568100	2097270	1416810	1163340	1442910	1414060	1757510	2657330	2404260	1415850	1326010	1735830	1597230	2315400	1452590	1103590	1199140	1056020	1578640	1496780	2194600
ACACB	16418.4	15935.4	38060	27443.3	29452.8	100764	19531.7	33295.5	58869	21634.7	42624.2	30833.8	23542.6	45336.5	46253.3	130309	152448	21182.5	83604.9	25994.2	79167.5	27030.6	27334.6	34054.8
ACAD9	0	0	2378.09	0	0	0	0	1759.06	3778.13	0	0	0	3754.15	13696.4	4911.21	0	0	1190.04	0	0	1010.04	0	0	0
ACADM	0	0	0	0	3027.08	0	0	0	0	1407.04	2901.07	0	5124.15	5440.16	0	3449.09	0	0	0	0	0	0	0	0
ACADVL	0	0	8448.32	2511.08	1538.05	0	6968.26	5342.16	11699.5	1319.04	1969.06	6558.16	3304.11	1274.06	9884.4	2233.07	0	5262.16	2189.07	1942.07	0	0	2126.07	0
ACAP2	1581.05	0	0	0	0	0	3570.11	2099.09	2879.11	0	0	0	3623.11	2363.08	3560.11	0	0	0	0	0	0	0	0	0
ACAP3	0	3196.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAT1	5667.18	3502.12	6105.23	4873.13	4588.16	3209.11	3997.13	8650.29	7039.25	3518.12	3004.08	0	6281.22	5558.16	21344.6	3677.14	0	4058.13	2473.08	0	2441.08	2865.1	0	4678.15
ACAT2	1752.06	0	3687.14	4836.13	0	0	2108.08	2131.08	2754.1	0	0	0	1616.06	1399.05	2377.09	319.012	440.015	0	0	0	0	0	0	0
