Protein	EGFP_1	EGFP_2	EGFP_3	EGFR_1	EGFR_2	EGFR_3	HEK293_1	HEK293_2	HEK293_3	PDHA1_1	PDHA1_2	PDHA1_3	RAB11A_1	RAB11A_2	RAB11A_3
NUDT4B	0	0	0	0	0	0	6760.708	0	0	0	0	0	0	25285.39	0
GATD3B	122103.29	108699.08	152588.4	212336.94	158384.03	274353.94	17032.371	28536.875	55366.676	33612.758	185357.2	124188.33	323893.94	333586.66	347290.25
TTC26	0	0	0	0	0	0	0	0	0	0	0	0	0	56711.6	0
E2F8	139974.36	99414.36	66832.016	0	0	0	0	0	0	0	0	0	0	0	0
UBA6	139543.12	187450.9	126628.41	76335.516	169547.44	107780.41	47173.367	81621.3	105619.93	49431.684	56946.25	45893.07	250246.64	133539.53	242328.12
ESYT2	158796.64	179503.03	157078.83	576326.7	412996.28	657835.5	0	0	0	0	0	0	1190621	377445.7	400912.84
UHRF1BP1L	325799.56	545195.44	464442.44	170922.23	123035.84	165295.23	0	0	0	0	0	0	1.02E+07	1.06E+07	1.05E+07
SHTN1	409165.72	360361.78	388269.8	194977.61	147786.22	238114.39	0	7550.823	0	0	0	67287.484	148671.58	184150.88	129146.734
ARHGAP10	28536.334	47657.574	21457.018	0	0	0	0	0	0	0	0	0	40340.72	38415.76	16661.195
FAM168B	0	0	0	41946.582	39747.656	48503.75	32607.766	35817.94	35451.285	41452.85	55911.6	51668.457	0	63111.176	39497.26
MEX3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12468.116
ILVBL	49697.074	34034.973	65476.797	55492.676	37733.15	71455.95	0	0	0	0	0	13447.968	59787.39	64571.21	88966.79
C1orf226	0	0	0	45977.08	44374.883	70402.28	0	0	0	0	0	0	0	25774.668	0
PLEKHG3	89546.84	61077.133	83222.45	108107.76	10906.192	39490.07	0	0	0	0	0	0	0	0	69011.86
SH3PXD2B	31664.344	0	0	72939.19	54679.54	41448.633	0	0	0	0	0	0	0	0	0
FAM92A	0	0	0	0	0	19424.38	0	0	0	0	0	0	0	0	0
NBAS	23191.703	23104.738	12993.822	120683.72	74253.234	141414.61	0	0	0	0	0	0	118092.61	174028.03	68608.66
CCDC66	91095.78	108483.95	86262.19	11110.504	21557.672	11061.363	0	0	0	0	0	0	0	14708.433	0
TMEM131L	0	0	0	34961.97	242534.47	145518.2	0	0	0	0	0	0	111387.47	245659.44	48296.273
VWA8	57910.11	104489.94	0	32969.934	0	0	0	0	0	690660.4	1379949.2	1885563.6	17226.947	19588.14	7438.9854
SBNO1	348904.12	396079.53	276615.06	32053.31	0	40557.34	0	0	0	0	0	0	78874.27	31301.205	24243.445
FAM221A	193832.7	144313.2	116773.41	0	0	14998.154	0	0	0	0	0	0	72350.77	84782.55	89630.266
GTPBP10	0	0	0	0	0	0	0	0	0	3805.3665	114696.97	102534.03	0	0	0
WDR91	0	101494.16	0	0	0	0	0	0	0	0	0	4473.705	0	14665.003	0
EFCAB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25423.496
TRAPPC13	17523.701	0	0	0	0	0	0	0	0	0	0	0	59576.156	13228.108	59554.695
CNOT1	1812422.5	1957855.8	1923346.9	430490.22	411109.97	603379.1	0	0	0	7483.689	7909.8574	19932.488	668075.75	490621.22	558230
BDP1	62330.605	21192.953	0	0	0	0	0	23036.127	0	0	0	0	0	0	0
FAM83G	435610.1	903025.4	515910.47	348584.88	331104.84	273073.22	0	0	0	0	0	0	795500.6	825185.75	713184.25
PGP	0	0	0	0	0	13138.017	0	15586.278	7984.91	0	17241.426	24201.715	17587.2	48670.188	37947.246
C5orf51	41713.957	41738.266	0	0	0	0	0	4635.6323	0	0	0	15270.901	24201.443	0	0
TUBAL3	94739.97	111795.42	115956.89	48470.07	81400.68	118899.37	0	11517.802	24578.387	0	22549.459	58180.695	109791.836	91631.61	108084.98
SMCHD1	322525.53	263397.84	350332.47	165820.2	80208.234	111316.27	0	0	0	0	0	25250.135	266701.03	184767.69	176663.77
RIMBP3C	0	0	33235	0	0	0	0	0	0	0	0	0	0	0	0
CCDC85C	211050.12	223212.9	383341.44	504342.3	469260.25	618517.56	0	0	0	0	0	0	284686.56	236091.38	227960.05
BTBD11	16019.693	0	0	6078.72	8446.764	0	0	0	0	0	0	0	0	0	0
ZSWIM8	34985.56	26792.451	59041.336	17210.207	41936.97	42156.69	0	0	0	0	0	0	42084.008	12883.116	0
ARHGAP32	0	42262.72	38175.324	96703.98	103877.12	179826.95	0	0	0	0	0	1805.182	0	24719.434	0
TBKBP1	271588.22	378442	403602.06	46269.39	46753.914	101921.13	0	0	0	0	0	0	571976.25	427248.56	477897.28
ZNF850	74518.625	136724.56	112999.28	0	0	0	0	0	0	0	0	0	0	0	0
ZBBX	0	0	0	0	0	0	0	0	0	0	0	0	3452.3596	0	0
ZNF724	48746.707	44740.81	68869.06	0	0	0	0	0	0	0	0	0	0	0	0
FAM171A2	0	0	0	323513.03	216525.1	397043.9	0	0	0	0	0	0	34293.457	55979.492	62654.67
NUDT19	0	15786.7295	13962.34	0	0	0	0	0	0	72651.125	233272.03	164549.66	0	0	0
MYO9A	365065.7	216415.42	253555.36	418669.38	382612.78	498567.53	0	0	0	0	0	0	95522.164	39601.203	19648.762
IQCJ-SCHIP1	0	0	0	0	0	0	0	0	0	0	0	0	346325.8	271207.28	308013.7
RABGAP1L	39530.61	108107.445	44928.797	28118.578	14512.916	40611.51	0	0	0	0	0	0	1219025.9	892270.44	1072242
GPR89A	0	0	0	47614.4	0	76968.35	0	0	0	0	0	0	49863.098	34940.94	42522.027
SHISA8	0	0	0	92637.375	92776.6	88757.65	0	0	0	0	0	0	56251.418	54434.027	69528.695
WASH3P	0	0	28865.814	0	0	0	0	0	0	0	0	0	0	0	0
PRRT4	0	0	0	0	0	0	0	0	0	0	0	0	28683.344	16317.217	22095.422
ZNF587B	54054.594	14867.019	0	0	0	0	0	0	0	0	0	0	0	0	0
NACA	1190568.8	1083665.2	976509.9	668224.5	735764.44	712393.8	0	0	15989.597	85329.99	133416.77	134166.72	665096.8	386084.47	633042
AGPS	26533.633	170297.83	149554.22	123318.625	69992.42	38837.973	22950.012	28838.363	21927.402	19063.53	110953.44	33582.04	185428.97	116830.086	139543.25
KIF2A	35762.95	84584.06	49532.227	134278.98	58687.625	77601.37	0	0	0	0	9490.127	0	67673.74	83975.26	102496.6
DDX39A	92743.86	169192.34	145727.72	309330.78	242016.97	340260.88	40768.28	29108.91	29966.57	51202.15	178776.52	190575.31	241629.7	354856.38	296466.06
PDLIM1	443446	593276.3	602489	211825.61	160019.69	239099.3	0	17407.05	7492.5146	0	12124.02	30333.477	335256.6	386062.16	424191.1
ACOT7	522340	931725.2	822766.8	1173677.8	942173.7	1155118.8	270068.78	281764	390309.8	387520.56	596870.2	678829.06	1361370.2	1501489.6	1536609.1
MYO1C	90450.16	230306.03	252396.31	587116.8	516747.66	424230.7	0	0	0	0	11825.282	42143.9	593486.94	262030.84	158917.14
SNAP23	111000.16	73854.82	59489.746	2360347	2520089.8	2488418.2	19074.08	13783.847	11735.219	35470.004	0	36389.727	1239278.9	1460189.8	1266083.9
AIP	27925.355	78703.13	68224.086	165215.31	154228.7	152905.64	29925	21028.033	28420.697	13637.529	75103.54	63103.344	110406.42	129987.375	113303.89
GTPBP1	315532.34	338237.3	262718.62	292082.72	155979.05	188354.86	0	0	0	0	0	212331.05	362552.06	277368.75	319174.2
KCNK1	0	0	0	0	0	0	0	0	0	0	0	0	33677.766	20033.318	28192.484
STXBP3	46204.49	45447.605	53133.43	596595	431029.78	587347.4	0	0	0	0	0	10458.725	87185.08	174320.81	97114.23
SMAP	149638.67	179118.84	144379.44	72871.484	62986.133	63188.125	27983.863	48226.59	39397.72	18482.246	71713.3	75448.11	87210.33	77052.83	80867.2
RAB27B	64344.613	0	0	143474.78	145555.5	166721.25	0	0	0	0	0	0	212980.44	252772	264098.75
AP3B1	323408.6	85180.49	69945.39	193517.62	143555.17	99408.875	0	0	0	38158.78	137584.88	119182.01	163128.19	278904.72	217643.5
APBB1	2506200.2	2645682.5	2519973.5	2355352.2	2303507.5	2518120	0	0	0	0	8014.9614	0	1.09E+07	1.12E+07	1.21E+07
NDUFS8	42121.594	28572.75	30234.467	15845.019	18098.055	16059.722	0	0	0	87023.05	98578.44	56321.586	23408.494	22970.15	18241.703
NFKBIE	236027.19	420819.25	274962.28	11972.147	41255.887	54882.027	0	0	0	0	0	0	275319.16	229521.12	283717.7
PSMD11	630346.25	754203.25	633181.75	205991.94	232660.06	317256.1	13133.057	0	0	10318.951	0	6790.592	234903.22	574155.06	259928.33
