Bait	Prey	PreyGene	Intensity	IntensitySum	AvgIntensity	NumReplicates	ctrlIntensity	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	OddsScore	FoldChange	BFDR	boosted_by
EGFR	GATD3B	GATD3B	1.583|1.318|1.858	4.760	1.587	3	1.120|1.042|1.288|0.327|0.452|0.683	0.104	0.189	0.104	0.189	0.104	-3.344	2.172	0.537	
EGFR	UBA6	UBA6	0.835|1.376|1.036	3.247	1.082	3	1.218|1.465|1.146|0.618|0.871|1.023	0.001	0.004	0.001	0.004	0.001	-9.368	1.061	0.867	
EGFR	ESYT2	ESYT2	2.955|2.400|3.210	8.565	2.855	3	1.320|1.426|1.312|.|.|.	0.103	0.178	0.103	0.178	0.103	-3.644	2.112	0.538	
EGFR	UHRF1BP1L	UHRF1BP1L	1.383|1.126|1.354	3.862	1.287	3	2.069|2.855|2.582|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.519	0.920	
EGFR	SHTN1	SHTN1	1.501|1.262|1.701	4.465	1.488	3	2.386|2.204|2.309|.|0.197|.	0.032	0.038	0.032	0.038	0.032	-3.608	1.197	0.735	
EGFR	FAM168B	FAM168B	0.575|0.556|0.629	1.759	0.586	3	.|.|.|0.491|0.521|0.517	0.001	0.002	0.001	0.002	0.001	-7.182	1.151	0.869	
EGFR	ILVBL	ILVBL	0.684|0.538|0.802	2.024	0.675	3	0.639|0.504|0.759|.|.|.	0.001	0.002	0.001	0.002	0.001	-8.966	1.079	0.870	
EGFR	C1orf226	C1orf226	0.609|0.595|0.794	1.998	0.666	3	.|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-10.516	0.802	0.897	
EGFR	PLEKHG3	PLEKHG3	1.038|0.248|0.553	1.839	0.613	3	0.923|0.727|0.882|.|.|.	0.001	0.002	0.001	0.002	0.001	-15.279	0.730	0.878	
EGFR	SH3PXD2B	SH3PXD2B	0.812|0.678|0.570	2.061	0.687	3	0.482|.|.|.|.|.	0.012	0.023	0.012	0.023	0.012	-5.742	1.425	0.805	
EGFR	NBAS	NBAS	1.112|0.821|1.228	3.162	1.054	3	0.397|0.396|0.276|.|.|.	0.526	0.781	0.526	0.781	0.526	-1.649	2.999	0.161	
EGFR	CCDC66	CCDC66	0.250|0.379|0.250	0.879	0.293	3	0.933|1.041|0.902|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.306	0.920	
EGFR	TMEM131L	TMEM131L	0.513|1.721|1.250	3.484	1.161	3	.|.|.|.|.|.	0.027	0.075	0.027	0.075	0.027	-11.916	1.399	0.749	
EGFR	VWA8	VWA8	0.494|.|.	2.154	0.718	3	0.703|1.017|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.232	0.850	0.927	
EGFR	SBNO1	SBNO1	0.486|.|0.563	1.878	0.626	3	2.160|2.338|1.868|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.296	0.924	
EGFR	CNOT1	CNOT1	2.463|2.393|3.041	7.897	2.632	3	6.048|6.347|6.277|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.423	0.919	
EGFR	FAM83G	FAM83G	2.158|2.090|1.853	6.102	2.034	3	2.481|3.913|2.758|.|.|.	0.000	0.000	0.000	0.000	0.000	-11.891	0.680	0.907	
EGFR	TUBAL3	TUBAL3	0.629|0.870|1.102	2.601	0.867	3	0.956|1.060|1.085|.|0.256|0.411	0.016	0.031	0.016	0.031	0.016	-5.694	1.334	0.789	
EGFR	SMCHD1	SMCHD1	1.357|0.862|1.058	3.276	1.092	3	2.056|1.812|2.165|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.544	0.912	
EGFR	CCDC85C	CCDC85C	2.719|2.599|3.089	8.407	2.802	3	1.577|1.634|2.291|.|.|.	0.011	0.019	0.011	0.019	0.011	-5.174	1.551	0.808	
EGFR	BTBD11	BTBD11	0.172|0.211|.	1.213	0.404	3	0.315|.|.|.|.|.	0.000	0.000	0.000	0.000	0.000	-9.953	1.284	0.899	
EGFR	ZSWIM8	ZSWIM8	0.329|0.575|0.576	1.480	0.493	3	0.513|0.434|0.711|.|.|.	0.000	0.001	0.000	0.001	0.000	-12.066	0.912	0.883	
EGFR	ARHGAP32	ARHGAP32	0.969|1.013|1.427	3.408	1.136	3	.|0.577|0.542|.|.|.	0.089	0.207	0.089	0.207	0.089	-3.627	2.032	0.571	
EGFR	TBKBP1	TBKBP1	0.611|0.615|1.001	2.227	0.742	3	1.847|2.272|2.365|.|.|.	0.000	0.000	0.000	0.000	0.000	-15.279	0.345	0.920	
