Bait	PreyGene	#Rep	AvgP	BFDR
RAB11A	NUDT4B	3	0.3333	0.2529
EGFR	GATD3B	3	0.7413	0.0711
PDHA1	GATD3B	3	0.4609	0.2038
RAB11A	GATD3B	3	0.8617	0.0176
RAB11A	TTC26	3	0.3333	0.2529
EGFR	UBA6	3	0.2017	0.3557
PDHA1	UBA6	3	0.0208	0.4848
RAB11A	UBA6	3	0.6226	0.1535
EGFR	ESYT2	3	0.9930	0.0003
RAB11A	ESYT2	3	0.9757	0.0012
EGFR	UHRF1BP1L	3	0.0923	0.4142
RAB11A	UHRF1BP1L	3	1.0000	0.0000
EGFR	SHTN1	3	0.8240	0.0288
PDHA1	SHTN1	3	0.1659	0.3711
RAB11A	SHTN1	3	0.8031	0.0380
RAB11A	ARHGAP10	3	0.3076	0.3187
EGFR	FAM168B	3	0.2081	0.3542
PDHA1	FAM168B	3	0.3723	0.2360
RAB11A	FAM168B	3	0.2938	0.3237
RAB11A	MEX3A	3	0.3333	0.2529
EGFR	ILVBL	3	0.3128	0.3167
PDHA1	ILVBL	3	0.0004	0.5436
RAB11A	ILVBL	3	0.5531	0.1744
EGFR	C1orf226	3	1.0000	0.0000
RAB11A	C1orf226	3	0.3333	0.2529
EGFR	PLEKHG3	3	0.1794	0.3647
RAB11A	PLEKHG3	3	0.0027	0.5266
EGFR	SH3PXD2B	3	0.6192	0.1552
EGFR	FAM92A	3	0.3333	0.2529
EGFR	NBAS	3	0.9999	0.0000
RAB11A	NBAS	3	0.9998	0.0000
EGFR	CCDC66	3	0.0000	0.5549
PDHA1	CCDC66	3	0.0000	0.5549
RAB11A	CCDC66	3	0.0000	0.5549
EGFR	TMEM131L	3	1.0000	0.0000
RAB11A	TMEM131L	3	1.0000	0.0000
EGFR	VWA8	3	0.0331	0.4692
PDHA1	VWA8	3	1.0000	0.0000
RAB11A	VWA8	3	0.0743	0.4297
EGFR	SBNO1	3	0.0000	0.5549
RAB11A	SBNO1	3	0.0001	0.5502
EGFR	FAM221A	3	0.0001	0.5502
RAB11A	FAM221A	3	0.0523	0.4497
PDHA1	GTPBP10	3	1.0000	0.0000
PDHA1	WDR91	3	0.0000	0.5549
RAB11A	WDR91	3	0.0000	0.5549
RAB11A	EFCAB5	3	0.3333	0.2529
RAB11A	TRAPPC13	3	0.6901	0.1000
EGFR	CNOT1	3	0.0771	0.4271
PDHA1	CNOT1	3	0.0030	0.5251
RAB11A	CNOT1	3	0.0841	0.4209
EGFR	FAM83G	3	0.0161	0.4939
RAB11A	FAM83G	3	0.4027	0.2253
EGFR	PGP	3	0.1183	0.3967
PDHA1	PGP	3	0.5901	0.1635
RAB11A	PGP	3	0.9363	0.0046
PDHA1	C5orf51	3	0.1690	0.3694
RAB11A	C5orf51	3	0.2377	0.3435
EGFR	TUBAL3	3	0.5614	0.1717
PDHA1	TUBAL3	3	0.1535	0.3769
RAB11A	TUBAL3	3	0.7065	0.0902
