Protein	Empty_1	Empty_2	Empty_3	EGFP_1	EGFP_2	EGFP_3	EGFR_1	EGFR_2	EGFR_3	PDHA1_1	PDHA1_2	PDHA1_3	RAB11A_1	RAB11A_2	RAB11A_3
NUDT4B	6760.708	0	0	0	0	0	0	0	0	0	0	0	0	25285.39	0
GATD3B	15893.311	28536.875	55366.676	122103.29	108699.08	151179.9	205564.66	158384.03	274353.94	33612.758	185348.77	133383.08	323893.94	333586.66	347290.25
NBDY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTC26	0	0	0	0	0	0	0	0	0	0	0	0	0	56711.6	0
E2F8	0	0	0	139974.36	99414.36	64456.96	0	0	0	0	0	0	0	0	0
UBA6	46932.523	81621.3	105619.93	139543.12	188204.7	126628.41	76335.516	169547.44	111289.9	49328.027	56946.25	45893.07	271456.88	178253.36	242328.12
ESYT2	0	0	0	158857.9	179503.03	157078.83	588416.25	412996.28	657835.5	0	0	0	1190621	379922.62	400912.84
UHRF1BP1L	0	0	0	325799.56	545195.44	500139.3	170922.23	123239	165295.23	0	0	0	1.02E+07	1.06E+07	1.06E+07
SHTN1	0	7550.823	0	409459.88	360361.78	387268.12	194977.61	147786.22	238496.64	0	0	67287.484	148671.58	184501.86	129146.734
ARHGAP10	0	0	0	28536.334	38735.246	21457.018	0	0	0	0	0	0	40340.72	38415.76	16661.195
FAM168B	32607.766	35817.94	34399.766	0	0	0	41946.582	39747.656	48503.75	41452.85	55911.6	51668.457	0	63111.176	39497.26
MEX3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12468.116
ILVBL	0	0	0	49697.074	34034.973	65476.797	55492.676	37733.15	71455.95	0	0	13447.968	59787.39	63980.258	88966.79
C1orf226	0	0	0	0	0	0	116038	44374.883	70402.28	0	0	0	0	25774.668	0
PLEKHG3	0	0	0	89546.84	61077.133	83222.45	108107.76	10906.192	39490.07	0	0	0	0	0	11859.727
SH3PXD2B	0	0	0	31664.344	0	0	72939.19	54679.54	41448.633	0	0	0	0	0	0
FAM92A	0	0	0	0	0	0	0	0	19424.38	0	0	0	0	0	0
BCLAF3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NBAS	0	0	0	23191.703	23104.738	12993.822	120683.72	74253.234	141414.61	0	0	0	179380	91713.47	68608.66
FAM234B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC66	0	0	0	91095.78	108483.95	86262.19	11110.504	21557.672	11061.363	0	18939.18	0	0	14708.433	0
TMEM131L	0	0	0	0	0	0	34961.97	242534.47	141250.28	0	0	0	110905.95	245659.44	48296.273
VWA8	0	0	0	58377.258	104489.94	0	32969.934	0	0	680631.1	1324375.6	1887656.6	17226.947	19588.14	7438.9854
SBNO1	0	0	0	348150.44	396079.53	276615.03	32053.31	0	40557.34	0	0	0	78874.27	31301.205	24243.445
FAM221A	0	0	0	193832.7	144313.2	116773.41	0	0	14998.154	0	0	0	72350.77	84782.55	89630.266
GTPBP10	0	0	0	0	0	0	0	0	0	3805.3665	114696.97	102534.03	0	0	0
WDR91	0	0	0	0	101494.16	0	0	0	0	0	0	4473.705	0	14665.003	0
EFCAB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25423.496
TRAPPC13	0	0	0	17523.701	0	0	0	0	0	0	0	0	59576.156	13228.108	57200.234
CNOT1	0	0	0	1811673.9	1801766.8	1920031.4	430490.25	410099.8	603379.1	7483.689	7909.8574	19932.488	668793.2	490621.22	558230
BDP1	0	23036.127	0	62330.605	21192.953	0	0	0	0	0	0	0	0	0	0
KRT87P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM83G	0	0	0	435610.1	903025.3	518389.06	349497.06	329333.56	273073.25	0	0	0	795783.25	828322.2	746344.9
PGP	0	15586.278	7984.91	0	0	0	0	0	13138.017	0	17241.426	24201.715	17587.2	48670.188	37947.246
C5orf51	0	4635.6323	0	41713.957	41738.266	0	0	0	0	0	0	15270.901	24201.443	0	0
ZNF316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TUBAL3	0	11517.802	24578.387	94739.97	111795.42	115956.89	48470.07	81400.68	118899.37	0	22549.459	58180.695	109791.836	91543.75	108084.98
EPOP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMCHD1	0	0	0	320244.25	263397.84	350332.47	164996.7	74890.96	111102.6	0	0	25250.135	266701.03	183287.67	121364.56
RIMBP3C	0	0	0	0	0	33235	0	0	0	0	0	0	0	0	0
CCDC85C	0	0	0	211050.12	223212.9	378452.03	506254.56	470125.47	618517.56	0	0	0	284880.7	236091.38	227960.05
OR5H1	0	0	0	189177.88	0	0	0	0	0	0	0	0	27068.652	0	0
BTBD11	0	0	0	16019.693	0	0	6078.72	8446.764	0	0	0	0	0	0	0
ZSWIM8	0	0	0	34985.56	26792.451	59041.336	17210.207	41936.97	42156.69	0	0	0	42084.008	12883.116	0
ARHGAP32	0	0	0	0	42262.72	38175.324	156064.53	103877.12	179826.95	0	0	1914.334	0	24719.434	0
TBKBP1	0	0	0	271588.22	378830.88	402823.97	46269.39	43102.188	101921.13	0	0	0	571877.6	428101.12	477897.28
POM121C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
