"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Protein"	"Bait"
21.330130780148	4.2660261560296	61.8407086226962	2.44084639426635e-16	5.32329015371446e-13	9.8385876285689	"KLK14"	"EGFR"
20.0712351832032	4.01424703664063	57.5136299297546	5.78843299926732e-16	5.32329015371446e-13	9.80645618396751	"PTPA"	"EGFR"
19.5777152861082	7.39022904525755	55.9488001355879	8.03757319401609e-16	5.32329015371446e-13	9.79301754592407	"VANGL1"	"EGFR"
19.1806884394595	7.9671405611212	54.7539175726383	1.03914596876121e-15	5.32329015371446e-13	9.78199584851342	"KIAA1549"	"EGFR"
19.3259891954627	7.81610656781219	54.7058023237086	1.05007169914766e-15	5.32329015371446e-13	9.7815373311803	"EPHA3"	"EGFR"
19.1320151454369	7.55185451649322	54.6929937641946	1.05300112367576e-15	5.32329015371446e-13	9.78141507376955	"ATP7A"	"EGFR"
18.9230186611402	7.44633231422447	53.9281335535271	1.24506254673937e-15	5.32329015371446e-13	9.77396105765788	"SLC12A7"	"EGFR"
18.5866645160677	3.71733290321355	53.8744018681506	1.25991482158191e-15	5.32329015371446e-13	9.77342583942268	"EFR3B"	"EGFR"
18.8672063744895	6.97602694831695	53.6276666300567	1.33062484205294e-15	5.32329015371446e-13	9.77094812430507	"DCBLD1"	"EGFR"
19.1319182054198	7.33288507323986	53.610149953465	1.33580578501095e-15	5.32329015371446e-13	9.77077096366246	"LSR"	"EGFR"
18.4182716382095	3.68365432764189	53.3994761775744	1.39985884084401e-15	5.32329015371446e-13	9.76862702957128	"TBC1D10B"	"EGFR"
18.3440818670793	3.66881637341587	53.2229149720084	1.45610591750352e-15	5.32329015371446e-13	9.76681126552715	"AP2M1"	"EGFR"
18.5131980873874	7.1462044309986	53.1117056967064	1.4927876681793e-15	5.32329015371446e-13	9.76565859389603	"PALM"	"EGFR"
18.4885099730772	7.27605710414354	52.8940485210459	1.56751130714295e-15	5.32329015371446e-13	9.7633822482022	"PCDHGA11"	"EGFR"
18.6491947541907	3.72983895083814	52.1954307415455	1.83606084209995e-15	5.32329015371446e-13	9.75588921807619	"DAAM1"	"EGFR"
18.1512611544491	3.63025223088982	52.1260021884384	1.86535658003098e-15	5.32329015371446e-13	9.75512864088598	"ARHGEF5"	"EGFR"
18.1497437503255	7.46609942900727	51.8197022462693	2.00078495800156e-15	5.32329015371446e-13	9.75173790983321	"OCLN"	"EGFR"
18.8542087269507	7.95619043715127	51.780829801286	2.01872014092095e-15	5.32329015371446e-13	9.75130343886132	"SDK2"	"EGFR"
17.7949113534077	3.55898227068153	51.6111168936467	2.09908915181969e-15	5.32329015371446e-13	9.74939548601873	"EFR3A"	"EGFR"
18.1450565022876	7.21977392284599	51.481451225906	2.16282872304067e-15	5.32329015371446e-13	9.74792548025371	"TC2N"	"EGFR"
18.0713203345874	3.61426406691749	51.4550682136706	2.17605277228981e-15	5.32329015371446e-13	9.74762506668193	"PLCB1"	"EGFR"
18.9700947047602	7.58054043689275	51.4398701418504	2.18371029986422e-15	5.32329015371446e-13	9.74745180960521	"KIRREL1"	"EGFR"
18.286813427737	7.30899127783344	50.9908109435397	2.42367818801014e-15	5.53529845398165e-13	9.74226501492756	"IL6ST"	"EGFR"
17.9809388683326	3.59618777366652	50.890950182458	2.48083530284167e-15	5.53529845398165e-13	9.74109357602667	"CDC42EP4"	"EGFR"
17.7093766790087	3.54187533580174	50.7229454339854	2.58031813070187e-15	5.53529845398165e-13	9.73910770559008	"TMEM151A"	"EGFR"
18.4923793958155	6.65414172523352	50.4029462097286	2.78196941559548e-15	5.73719208093703e-13	9.73527219957748	"ZDHHC5"	"EGFR"
17.8958993194742	6.80446531401704	50.2440534964761	2.88838683918142e-15	5.73719208093703e-13	9.73334145932772	"SNTB1"	"EGFR"
17.9125952798417	7.08409121112827	49.9946101447634	3.06445033075478e-15	5.78096882437987e-13	9.73027462249703	"TACC1"	"EGFR"
19.5605314912519	7.67653354235972	49.9110345924728	3.12601334900273e-15	5.78096882437987e-13	9.72923718046955	"DSC2"	"EGFR"
18.0409584685684	7.30829732210138	49.5647504491726	3.39574954043883e-15	5.91397833449976e-13	9.72488478647352	"XPR1"	"EGFR"
18.4326648153813	7.06748937362846	49.49208880633	3.4554898732329e-15	5.91397833449976e-13	9.72396034977649	"KCNB2"	"EGFR"
17.2035476676709	7.33109024993602	49.3215426689775	3.60022862400032e-15	5.91397833449976e-13	9.72177513734571	"CPD"	"EGFR"
17.2699168516918	7.20167856037593	49.2770816344482	3.63903197908805e-15	5.91397833449976e-13	9.7212018716611	"GJA1"	"EGFR"
18.1798974735831	7.12324470115859	49.0831868069337	3.81363025908805e-15	6.01544090573213e-13	9.71868434038812	"PCDH7"	"EGFR"
17.4216963577113	3.48433927154225	48.8126648254007	4.07256654743486e-15	6.12422149284091e-13	9.71512363449798	"ARHGEF26"	"EGFR"
17.2126463510623	6.84184386158869	48.7532982317082	4.1319021416147e-15	6.12422149284091e-13	9.71433460694501	"NECTIN2"	"EGFR"
16.859172832401	3.37183456648019	48.6618178505795	4.22517611849923e-15	6.12422149284091e-13	9.71311333189124	"MTMR10"	"EGFR"
17.6541949973007	6.78267589472413	48.4908128867869	4.40570970539472e-15	6.21784767106102e-13	9.71081258014259	"FRS2"	"EGFR"
17.5585791241161	6.69976577238427	47.8968807213803	5.10063454797052e-15	6.27059523513972e-13	9.70263724883208	"MARK3"	"EGFR"
16.6119224216187	6.75898794693401	47.878619123688	5.12380185804426e-15	6.27059523513972e-13	9.70238125091548	"ZDHHC20"	"EGFR"
17.0358590134985	6.63914436477596	47.7681958043061	5.26634020529511e-15	6.27059523513972e-13	9.70082729585823	"BTBD7"	"EGFR"
18.6761996787845	6.73654449018247	47.7124520219107	5.33992299872964e-15	6.27059523513972e-13	9.7000388999078	"FAM171A1"	"EGFR"
16.8523436604179	6.92281783293381	47.6945043494015	5.36385068810593e-15	6.27059523513972e-13	9.6997844983409	"SLC39A10"	"EGFR"
16.9958476947779	3.39916953895557	47.6590779181967	5.41142253271473e-15	6.27059523513972e-13	9.69928153338354	"PIK3R3"	"EGFR"
17.0381879717215	6.7076894024996	47.5505798164716	5.55998352879463e-15	6.27059523513972e-13	9.6977344313716	"DGKE"	"EGFR"
17.4730260995846	6.72588780758338	47.442076837167	5.71297996815232e-15	6.27059523513972e-13	9.69617708081316	"WDR20"	"EGFR"
18.0899840903002	7.14102241486291	47.4356877994766	5.7221300334848e-15	6.27059523513972e-13	9.69608505929502	"PTK7"	"EGFR"
17.3287397435364	3.46574794870728	47.4021859889744	5.7703702895947e-15	6.27059523513972e-13	9.69560194813354	"TTPAL"	"EGFR"
16.4040733048347	3.28081466096694	47.4000616829382	5.77344396012045e-15	6.27059523513972e-13	9.69557128160594	"TAOK3"	"EGFR"
19.1754139188355	7.32260014771704	47.3490201981985	5.84783204294195e-15	6.27059523513972e-13	9.6948332567533	"STK10"	"EGFR"
16.5894075914295	3.3178815182859	47.2272434707928	6.0295375611652e-15	6.27059523513972e-13	9.69306318552639	"EEPD1"	"EGFR"
16.4794704455387	6.4690418747353	47.1941220184645	6.08001029698425e-15	6.27059523513972e-13	9.69257948189448	"SHISA8"	"EGFR"
17.1823626062855	6.67058230830638	47.0528222420642	6.3005326578626e-15	6.34491644883298e-13	9.6905049540852	"PON2"	"EGFR"
16.833506953228	6.66874807495512	46.8377733565855	6.6529549207197e-15	6.34491644883298e-13	9.68731311470715	"PAG1"	"EGFR"
16.7756952241819	7.61084688581342	46.7406829009626	6.81901427931002e-15	6.34491644883298e-13	9.68585823111747	"SCAMP1"	"EGFR"
17.4630075373161	10.0194862676686	46.726872491681	6.84299753537756e-15	6.34491644883298e-13	9.68565057948444	"VTA1"	"EGFR"
16.5377645169731	3.30755290339461	46.6434364278219	6.98985097640438e-15	6.34491644883298e-13	9.68439229020047	"FRMD6"	"EGFR"
16.2436001922019	3.24872003844037	46.6393483716879	6.99713345095211e-15	6.34491644883298e-13	9.68433047268413	"ERRFI1"	"EGFR"
16.4290969937522	3.28581939875045	46.6312717794689	7.01154528712716e-15	6.34491644883298e-13	9.68420829683496	"SBF2"	"EGFR"
16.1404178708474	3.22808357416948	46.570301176814	7.12138426819628e-15	6.34491644883298e-13	9.68328402275149	"LATS2"	"EGFR"
18.2088642683045	6.76000497297424	46.5181284450499	7.21685443555494e-15	6.34491644883298e-13	9.6824903578485	"FAM171A2"	"EGFR"
16.5561014739201	6.60733445911006	46.4267907179772	7.38734734695626e-15	6.35898460815323e-13	9.68109474063025	"ADGRL2"	"EGFR"
17.3805734260324	3.47611468520649	46.3833305488039	7.46999870060886e-15	6.35898460815323e-13	9.68042791123175	"SPCS2"	"EGFR"
17.8490836589683	7.04889624509145	46.2801412416532	7.67028210620616e-15	6.42745670868495e-13	9.67883743096886	"ARHGEF25"	"EGFR"
17.9810791858408	6.9686244470431	46.1263749059232	7.97960448555055e-15	6.56542802277581e-13	9.67644844410253	"FAM171B"	"EGFR"
16.2579176153844	6.52459605746475	46.0326031028905	8.17485475036833e-15	6.56542802277581e-13	9.6749803202522	"SLC39A6"	"EGFR"
16.2439355901448	6.39056628895568	45.9775896751929	8.29180721560883e-15	6.56542802277581e-13	9.67411501437727	"SEMA6A"	"EGFR"
17.1521722978309	3.43043445956619	45.9623080380255	8.32461505778026e-15	6.56542802277581e-13	9.67387412272789	"EPB41L1"	"EGFR"
16.7274130896987	6.91689663733459	45.8325632220837	8.60889468289377e-15	6.69123220063178e-13	9.67181961448324	"YKT6"	"EGFR"
17.4853218098762	8.79862886665037	45.7070309993143	8.89397840884254e-15	6.81095105136411e-13	9.66981589112746	"RAB11A"	"EGFR"
17.0884023947834	6.72178032023181	45.6542337687095	9.01692195873302e-15	6.81095105136411e-13	9.66896843332202	"PTPN3"	"EGFR"
15.9125628734029	3.18251257468057	45.5923426008133	9.16339051754875e-15	6.82545324244638e-13	9.6679714268657	"ILK"	"EGFR"
15.9889123368704	3.19778246737407	45.3261098859911	9.82349539254071e-15	7.21690490276655e-13	9.66363814880911	"RDX"	"EGFR"
15.6459318513283	3.12918637026566	44.7586655805183	1.14089308178823e-14	8.090023520483e-13	9.65415504852869	"FAM126B"	"EGFR"
15.9499702048463	3.18999404096925	44.6594939704953	1.17134499487728e-14	8.090023520483e-13	9.65246224093307	"SEC14L1"	"EGFR"
18.5459199900065	7.46486868210787	44.6453855044424	1.17574824853136e-14	8.090023520483e-13	9.65222054318405	"EHD4"	"EGFR"
16.0123751816583	7.05841110382381	44.6113147963071	1.18645583181968e-14	8.090023520483e-13	9.65163596333388	"PODXL2"	"EGFR"
15.4114796387573	3.08229592775146	44.6097445721599	1.18695185430299e-14	8.090023520483e-13	9.6516089909144	"PLCB4"	"EGFR"
15.4137737416911	3.08275474833821	44.5947310693832	1.19170587006928e-14	8.090023520483e-13	9.65135096043584	"UBE2J1"	"EGFR"
15.5333918605767	6.07976392834921	44.4285327813093	1.24573278051125e-14	8.35108112735226e-13	9.64847792045089	"ALG9"	"EGFR"
16.1068311786839	6.71331998818817	44.3185998724778	1.28292406607328e-14	8.4942244029025e-13	9.64656059632547	"SLC20A2"	"EGFR"
17.0035971054406	6.69071338735645	44.1882969007038	1.32857171407046e-14	8.68918305190229e-13	9.64427033699109	"ARL6IP5"	"EGFR"
15.7004272415988	3.14008544831976	44.0679203075251	1.37230843859403e-14	8.86709657371056e-13	9.64213734534213	"EPB41L4B"	"EGFR"
15.8542393522187	3.17084787044375	43.8694894689263	1.44784712909105e-14	9.13010137090368e-13	9.63858475861441	"KIF26B"	"EGFR"
15.9358939753527	3.18717879507055	43.8496165635946	1.4556569360849e-14	9.13010137090368e-13	9.63822643684851	"PDE8A"	"EGFR"
15.2990420825518	6.1613087386433	43.8282999165051	1.46408487394689e-14	9.13010137090368e-13	9.63784156807191	"YIPF5"	"EGFR"
16.1983860695233	3.23967721390465	43.475324317244	1.61160522575821e-14	9.9345273859095e-13	9.63139021703748	"VTN"	"EGFR"
17.0662751848185	6.62455842274045	43.3434164889991	1.67080264447306e-14	1.01066323873874e-12	9.62894080590423	"TMEM201"	"EGFR"
19.179531535917	6.80299136478133	43.2982448068046	1.69161277842412e-14	1.01066323873874e-12	9.6280971159283	"TIAM1"	"EGFR"
16.2935631102834	7.80194874362282	43.2886697348411	1.69605988227646e-14	1.01066323873874e-12	9.62791795607479	"RAB11FIP2"	"EGFR"
15.7239106072353	6.85219815773302	43.1283340907896	1.77243977714963e-14	1.04457082690697e-12	9.62490104903316	"STX12"	"EGFR"
15.2667093876745	6.03095640005838	42.9348236319851	1.86962209272802e-14	1.07912435388801e-12	9.6212171044575	"RHOG"	"EGFR"
14.8515648292137	6.09711027782189	42.9315520889051	1.87131390847632e-14	1.07912435388801e-12	9.62115441591832	"PSEN1"	"EGFR"
15.4769454928211	6.88935426051538	42.8225474394061	1.92864266818029e-14	1.10035219462243e-12	9.61905789347388	"ARL13B"	"EGFR"
16.4668070431663	7.05201285097067	42.6872080402356	2.00248347772337e-14	1.13045462010847e-12	9.61643363464018	"UNC13B"	"EGFR"
16.1464205589398	3.22928411178796	42.4520800182043	2.13815415519407e-14	1.16928555363419e-12	9.61181773898311	"BMPR2"	"EGFR"
16.6211798079114	6.31527881397765	42.4406816611547	2.14497936979429e-14	1.16928555363419e-12	9.6115921229874	"ST7"	"EGFR"
17.5297250585823	6.65368874846898	42.4268375581926	2.15330082704167e-14	1.16928555363419e-12	9.61131786471002	"TYW1"	"EGFR"
16.2349807799515	3.2469961559903	42.418250774881	2.15847976523932e-14	1.16928555363419e-12	9.61114762852674	"RASA3"	"EGFR"
16.285325165302	6.2702864477	42.2404669703486	2.26879525618468e-14	1.20630919871586e-12	9.60760086370984	"PLEKHN1"	"EGFR"
16.0822524537618	6.35252270728774	42.2357390339679	2.27181109584751e-14	1.20630919871586e-12	9.60750596226045	"GPAT4"	"EGFR"
16.1613635099207	6.19604451964057	42.0147024799526	2.41776961908507e-14	1.26430103376907e-12	9.60303528203505	"ILDR2"	"EGFR"
