Protein	BirA_1	BirA_2	BirA_3	BirA_4	PSMC2_1	PSMC2_2	PSMC2_3	PSMC2_4	PSMA4_1	PSMA4_2	PSMA4_3	PSMA4_4
A0AVF1	43248.18359	61240.25	43381.83984	57191.97656	71427.53125	112240.8984	93119.25	73827.80469	81446.5	92274.26563	56576.95703	68032.45313
A0AVT1	54429.72266	55349.73828	57547.8125	70366.00781	88984.75	123353.4219	154512.9375	129410.4453	110330.2813	129257.6406	126904.1875	175008.75
A0FGR8	226691.2188	297154.5938	223641.2031	204130.9688	184884.8906	202353.9531	184136.9063	186825.8906	123137.9063	154174.4063	171557.375	129205.2109
A0JNW5	50239.25781	38329.85938	50625.85547	20915.89063	131383.75	140555.1875	151294.6719	113193.2656	60387.59375	81967.89844	75319.08594	73301.94531
A0MZ66	174301.2344	136922.2656	151132.5156	172101.9844	358329.875	402026.1875	376774	358796.9688	277694.5625	379089.9375	384793.125	275747.625
A1A4S6	60529.57031	43092.71875	52411.26953	50051.125	96121.24219	88032.76563	80305.29688	69614.875	95502.73438	59332.39063	59934.36719	76388.8125
A1KXE4	759039.4375	1196715.125	1067846.75	991483.0625	206143.0469	350655.9688	231187.75	299238.9063	270361.2188	385782.3125	231257.2344	248835.8438
A1L0T0	158805.9063	195295.9063	198184.6563	148906.9375	130348.25	139972.0781	119400.4531	159569.5	74189.96875	84385.60156	78436.60938	79384.65625
A1L170	285422.25	161457.25	105380.9688	121202.3438	176983.1563	207347.5313	91831.32813	151157.625	135680.2656	210962.125	134489.7969	128779.75
A1L390	97445.35938	24483.88086	34149.13672	22370.89648	54922.58984	75625.80469	63610.42188	92633.36719	118797.1406	59954.76172	37663.85547	117831.25
A1L3X0	21982.68945	61990.53516	16669.36719	11617.2207	21172.69727	37573.41406	26042.47266	25161.07813	175894.2969	11112.08887	120373.7969	47736.36719
A1X283	45661.48438	83026.40625	84849.47656	63089.71094	139537.4531	131248	179615.5781	107606.7031	98540.98438	117727.2422	84249.71875	119427.875
A1XBS5	81063.14063	65175.96094	82735.23438	64270.82031	77183.53125	42349.9375	41943.45703	80630.84375	181414.7031	47303.89844	38765.29688	132419.4375
A2RRP1	32410.74219	33717.28125	29642.69336	22153.11914	70481.00781	52943.48828	73775.05469	66879.77344	29402.10352	50173.55859	41115.63672	36963.26953
A2RTX5	65724.41406	41156.40625	31651.04297	52692.43359	44513.73047	59689.42188	36518.6875	47913.07813	25744.91602	46047.82813	36532.55469	42972.16016
A2RUB6	21054.14453	20716.92578	35849.77344	12551.11621	40951.80859	49502.17969	47397.25781	40164.35156	97009.8125	25348.40234	25740.69141	292717
A2RUS2	14590.80078	20286.57813	16656.67188	17325.30469	45627.9375	46661.47656	42869.01563	45742.36719	20077.77344	33656.52344	30132.9375	25693.93945
A3KMH1	114916.4688	117488.9844	86123.50781	91139.59375	67854.29688	56845.40625	66810.59375	64203.31641	49248.51563	47380.55859	60098.81641	64140.93359
A3KN83	84190.42969	133644.4375	125981.3906	108523.8281	52701.3125	69624.32031	62944.25781	64114.49219	117097.0156	185093.5625	189747.1563	152680.0469
A4D1E9	40718.50391	58204.10938	49376.63281	38942.1875	23099.98633	22259.99609	22617.61914	24962.81055	43018.22266	42394.88281	35888.02734	33881.31641
A5LHX3	29278.01367	11113.92285	21099.96875	27369.7207	11888.7334	24612.62109	8955.380859	15895.40137	579650.3125	67027.125	58796.57031	5875586.5
A5YKK6	61966.28906	92962.10938	68258.13281	60820.125	173192.625	173841.75	190785.375	218355.0938	118516.8438	174935.3125	178244.7813	136087.2188
A6H8Y1	13435.45117	6307.8125	9929.527344	15040.72363	7790.376953	6747.984863	6077.21582	4453.625977	6186.418457	13462.25195	14778.64355	11034.70117
A6NDU8	47853.85938	44646.56641	29235.29102	20568.8125	73080.50781	58552.17969	70225.99219	78854.77344	65516.75	33337.91797	33292.125	57061.34375
A6NEK1	52095636	31512676	63699636	69682392	7828409.5	1982254.125	2397223.75	3538786.75	14630083	13926965	8957204	35536400
A6NFI3	128857.7109	126068.3281	90385.1875	104515.1016	57800.82031	97631.85156	45973.70313	108747.5234	19297.33203	58156.03516	111791.8828	26839.51367
A6NHL2	154602.9219	49884.43359	11606.32715	73147.15625	98734.28125	20493.73242	4649565	2056957.125	238972.3906	1029234.313	1639160.625	309723.5
A6NHR9	247141.125	240885.9375	279851.1875	361281.0625	110591.7266	112798.3594	113180.7031	106418.1641	186396.0156	177013.5469	193559.0781	252890.375
A6NIH7	76617.03906	36087.70313	50885.85156	87403.76563	140864.5469	116977.8828	114366.0391	98114.9375	103844.3828	54072.92969	41835.23047	154043.6406
A6NKD9	69801.07031	55874.07813	41917.6875	74550.5625	244278.5781	171276.0938	253971.0938	138248.9219	58946.40625	106583.5938	72683.74219	121380.9453
A6QL63	6680.325684	4476.243652	3366.050293	5909.460449	15618.20215	16701.00195	10509.00684	24868.27148	9124.149414	11708.06348	8405.759766	8335.083008
A7E2V4	145472.375	84468.84375	109069.6563	128075.3438	47103.92188	40392.80469	34937.96094	57071.28125	323913.4063	42322.74219	43962.65625	243713.1875
A7KAX9	96132.29688	157759.3906	124889.5938	121456.7422	88188.53125	127728.4219	118488.2344	100077.25	79461.53906	101987.4688	114530.4609	70349.14844
A7MCY6	28417.24609	29432.48828	23448.4375	21223.31641	100871.2969	101264.8281	110883.5625	87254.29688	73678.26563	73382.17188	45296.41797	55143.29688
A8CG34	581714.375	495970.9375	722899.3125	765158.8125	272948.3125	314570.5625	240787	402904.625	132362.1875	295581.2813	258830.0313	87609.70313
A8MQ14	12660.63574	10115.34961	14916.06738	13949.64746	16741.10938	9212.529297	11856.49805	7577.21582	4185.938965	7648.62793	9018.427734	13765.1582
A8MTY0	95509.96875	160988.9844	125970.7734	116116.8047	52525.80469	70339.1875	74089.01563	59135.83594	85869.96875	70322.67188	75292.28125	59536.96484
A8MV65	50926	91516.83594	59734.65625	51536.85156	41325.94141	40132.625	87827.63281	72885.70313	16236.62305	35610.05859	42071.35547	19430.9082
A8MVW0	2733.180908	19534.06641	2236.702393	9468.087891	128817.2969	117189.4688	150980.1406	138232.3125	35376.08203	29697.0957	26641.83203	23985.13477
A8MXV4	8078.042969	7374.23291	2873.325928	1228.465332	40492.35547	26000.65039	41950.42969	16644.20703	10063.57715	7420.512207	7297.89209	14544.29688
B1AJZ9	34168.26563	23475.04688	129006.1563	707895.3125	697622.4375	537162.625	885896.5	729006.5	28684.05469	208075.3906	178187.8594	716337.3125
B2RTY4	51187.07813	37259.21875	47174.84375	43249.04688	62226.06641	73618.25781	69999.79688	63857.68359	99428.72656	67299.85938	69569.32031	78214.04688
