Protein	EIF4A2_1	EIF4A2_2	EIF4A2_3	MEPCE_1	MEPCE_2	MEPCE_3	GFP_1	GFP_2	GFP_3
A2M	5225.57666	6285.425293	6682.325195	7687.34375	8481.810547	8810.569336	9304.914062	9602.779297	9617.097656
AAAS	2388.591064	1480.531982	1545.401001	1765.998047	1844.788818	1627.352783	1392.335815	1240.85144	1403.938232
AAR2	253.0650635	488.4573669	276.0880737	592.7176514	682.0002441	657.3893433	906.4152832	726.1098022	814.973938
ABCE1	3169.577393	4031.99292	3970.138916	1952.560547	1393.917725	2122.606934	1381.630127	1648.812378	1376.304199
ABCF1	1560.203857	1460.160034	1462.537354	2141.033447	2610.718262	2259.807129	2727.827881	2322.444824	1726.488647
ABCF2	915.4405518	1211.212891	1540.295532	2039.708252	2187.85498	1628.308594	2425.367432	2668.898926	2871.365479
ABI1	849.1497803	825.3592529	1295.156616	1068.11731	1164.101562	1277.731934	1190.486206	1445.724487	1268.813232
ABRAXAS2	700.621582	455.9829102	686.2269897	587.8101807	737.5200806	702.8977051	408.7937622	550.8927612	434.6784058
ACACA	1426.68042	1266.359009	1484.970825	1790.764404	1988.61499	1929.573853	2051.361328	2053.69751	1849.015991
ACAP2	1372.710938	1420.257935	1587.072998	2268.842285	2207.811035	2064.059326	2183.460205	2153.144531	2733.091553
ACLY	11178.06445	10449.5	11877.73633	13623.56836	12835.5166	12877.21875	15907.59961	12895.3584	13437.24121
ACSL3	1619.260498	1147.91626	2073.79248	1051.138428	1208.499268	1168.108398	1094.362793	889.0524902	878.8594971
ACTA1	10183.09961	7816.764648	996.6090088	13188.33398	11025.72461	2234.262939	0	0	10315.84961
ACTA2	9340.560547	9374.40332	9930.27832	26110.02148	24106.01758	24774.58203	9080.195312	7922.332031	9071.953125
ACTBL2	1695.602661	1488.356445	2714.561279	4497.912598	29532.16992	6410.001953	1723.322388	24632.14062	9733.630859
ACTG1	60823.42188	65614.96094	71020.89062	157703.25	158663.5625	164296.0781	60068.0625	59191.55859	61103.01562
ACTN4	6216.852539	7641.674316	7714.674805	8118.904297	9064.210938	8793.586914	7332.729004	7806.720703	6726.404297
ACTR10	535.8036499	543.8248901	736.2403564	562.9849854	846.4558105	491.5717468	684.9404297	770.6658936	1017.565796
ACTR1A	3987.441406	3025.69043	3926.864746	4229.950195	4654.960938	4884.640625	4277.182617	4464.920898	4897.443848
ACTR2	457.7879639	811.7052002	830.7200317	843.2341309	906.0693359	858.7674561	766.8355103	721.7592163	929.8320312
ACTR3	366.8980713	310.7501221	631.7224121	359.7046509	607.2526855	364.3694458	808.2692871	703.6580811	771.8067627
ADD1	676.9326172	709.0715332	888.2009888	1162.233398	1787.434692	1884.906372	990.5092773	1022.217896	870.3586426
ADD3	402.8155518	266.458374	781.9956665	814.6066284	747.237793	803.3098145	679.2150269	932.9868164	601.9056396
ADRM1	2611.92334	2851.421387	2601.290039	4523.109863	4084.840576	3983.619141	4170.270996	4544.583984	4212.095703
AGPAT1	646.6989746	285.1028442	437.6254883	710.5289307	699.3032227	679.8607178	746.9636841	529.8328247	547.9266357
AHCY	1764.445557	1759.42395	679.9411621	2302.883789	2169.694824	2603.714844	2420.951904	2936.848145	2933.343262
AIMP1	900.7702637	720.750061	914.5708008	1929.505249	1441.144165	1653.312744	1126.73584	1055.690552	1368.682495
AIMP2	668.986145	559.522583	565.1977539	614.5705566	481.1959229	483.4614868	411.2337952	590.0529785	813.012207
AKAP12	523.5495605	508.9749756	796.9933472	1151.47522	1228.848877	1367.439453	882.4338379	925.6152344	1098.048096
AKAP5	32962.00781	26871.97461	30299.07031	0	0	0	0	0	318.071167
ALB	23017.21484	22412.86328	26053.41602	13479.32129	13934.18359	14803.80469	11728.65527	13866.13379	13307.55078
ALDH16A1	513.6990967	423.6135864	511.8904114	518.4141846	488.1054688	689.4190674	771.4365234	871.8040771	1066.598755
ALDH18A1	936.8687744	1441.916992	1051.014404	1687.315186	1663.200073	1964.171509	1448.546387	1469.80188	1956.468262
ALDH1A2	670.7614746	806.9470215	668.2288208	649.3356934	0	668.2858276	1481.276367	1750.53186	1692.596436
ALDH1L1	1160.548462	1301.929565	1195.741943	1128.739868	1133.296875	1312.58313	1364.052979	1538.617432	1165.280396
