Bait	Prey	PreyGene	Intensity	IntensitySum	AvgIntensity	NumReplicates	ctrlIntensity	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	OddsScore	FoldChange	BFDR	boosted_by
EIF4A2	IGKV2-29;IGKV2D-26;IGKV2D-29	IGKV2-29;IGKV2D-26;IGKV2D-29	402.109|6.157|6.375	414.642	138.214	3	6.182|6.019|5.987	0.333	1.000	0.333	1.000	0.333	-16.160	22.799	0.198	
EIF4A2	ESYT2	ESYT2	0.549|0.670|0.631	1.849	0.616	3	0.806|0.915|1.131	0.000	0.000	0.000	0.000	0.000	-16.005	0.655	0.955	
EIF4A2	SHTN1	SHTN1	0.247|0.262|.	0.908	0.303	3	0.287|0.250|0.346	0.000	0.000	0.000	0.000	0.000	-16.005	1.037	0.967	
EIF4A2	ILVBL	ILVBL	0.355|0.541|0.484	1.380	0.460	3	0.595|0.600|0.591	0.000	0.000	0.000	0.000	0.000	-16.005	0.773	0.957	
EIF4A2	CNOT1	CNOT1	0.647|0.664|0.747	2.058	0.686	3	0.791|2.319|0.865	0.000	0.000	0.000	0.000	0.000	-11.724	0.588	0.888	
EIF4A2	MAP1LC3B;MAP1LC3B2	MAP1LC3B;MAP1LC3B2	0.200|0.272|.	0.871	0.290	3	0.282|0.271|0.279	0.000	0.000	0.000	0.000	0.000	-16.005	1.047	0.967	
EIF4A2	TUBAL3	TUBAL3	1.032|1.330|1.339	3.701	1.234	3	1.508|1.235|1.506	0.000	0.000	0.000	0.000	0.000	-16.005	0.875	0.954	
EIF4A2	ARHGAP42	ARHGAP42	0.436|0.472|0.620	1.528	0.509	3	0.951|0.800|0.843	0.000	0.000	0.000	0.000	0.000	-16.005	0.591	0.956	
EIF4A2	RTL8C	RTL8C	0.999|0.697|0.926	2.621	0.874	3	0.948|0.967|0.925	0.000	0.000	0.000	0.000	0.000	-16.005	0.923	0.940	
EIF4A2	WASH2P;WASH3P	WASH2P;WASH3P	0.395|0.559|0.663	1.617	0.539	3	0.540|0.700|0.900	0.000	0.000	0.000	0.000	0.000	-16.005	0.772	0.955	
EIF4A2	MCRIP1	MCRIP1	0.263|0.380|.	1.041	0.347	3	0.532|0.345|.	0.000	0.000	0.000	0.000	0.000	-16.005	0.810	0.967	
EIF4A2	G5E513	G5E513	0.734|1.024|0.963	2.721	0.907	3	1.248|1.280|1.137	0.000	0.000	0.000	0.000	0.000	-16.005	0.743	0.957	
EIF4A2	TRYP	TRYP	16.289|16.612|16.649	49.550	16.517	3	15.625|16.080|16.547	0.000	0.000	0.000	0.000	0.000	-15.978	1.027	0.941	
EIF4A2	CHYM	CHYM	0.913|0.972|1.118	3.002	1.001	3	1.018|1.003|1.025	0.000	0.000	0.000	0.000	0.000	-16.005	0.986	0.930	
