Bait	PreyGene	#Rep	AvgP	BFDR
EIF4A2	IGKV2-29;IGKV2D-26;IGKV2D-29	3	0.3357	0.1875
MEPCE	IGKV2-29;IGKV2D-26;IGKV2D-29	3	0.3352	0.1910
EIF4A2	GATD3;GATD3B	3	0.0000	0.6827
EIF4A2	ESYT2	3	0.0000	0.6827
MEPCE	ESYT2	3	0.0000	0.6827
EIF4A2	SHTN1	3	0.0000	0.6827
MEPCE	SHTN1	3	0.0000	0.6827
EIF4A2	ILVBL	3	0.0000	0.6827
MEPCE	ILVBL	3	0.3242	0.3426
MEPCE	VWA8	3	0.0026	0.5691
EIF4A2	CNOT1	3	0.0000	0.6827
MEPCE	CNOT1	3	0.0000	0.6827
EIF4A2	MAP1LC3B;MAP1LC3B2	3	0.0000	0.6827
MEPCE	MAP1LC3B;MAP1LC3B2	3	0.0000	0.6827
EIF4A2	FAM83G	3	0.3333	0.2157
MEPCE	FAM83G	3	0.6667	0.0325
EIF4A2	TUBAL3	3	0.0000	0.6827
MEPCE	TUBAL3	3	0.0000	0.6827
MEPCE	SMCHD1	3	0.3333	0.2157
EIF4A2	ARHGAP42	3	0.0021	0.5788
MEPCE	ARHGAP42	3	1.0000	0.0000
EIF4A2	RTL8C	3	0.0000	0.6827
MEPCE	RTL8C	3	0.0000	0.6827
EIF4A2	SNRPG;SNRPGP15	3	0.0000	0.6827
MEPCE	SNRPG;SNRPGP15	3	0.0000	0.6827
EIF4A2	WASH2P;WASH3P	3	0.0003	0.6354
MEPCE	WASH2P;WASH3P	3	0.0099	0.5150
EIF4A2	MCRIP1	3	0.0000	0.6827
MEPCE	A0A3Q1M3L6	3	0.0000	0.6827
MEPCE	FBLN1	3	0.0180	0.4947
EIF4A2	G5E513	3	0.0000	0.6827
MEPCE	G5E513	3	0.0000	0.6827
MEPCE	ADH1	3	0.3333	0.2157
MEPCE	lacZ	3	1.0000	0.0000
EIF4A2	TRYP	3	0.0000	0.6827
MEPCE	TRYP	3	0.0000	0.6827
EIF4A2	CHYM	3	0.0000	0.6827
MEPCE	CHYM	3	0.0000	0.6827
EIF4A2	C4	3	0.0000	0.6827
MEPCE	C4	3	0.0000	0.6827
MEPCE	KNG1;KNG2	3	0.0000	0.6827
EIF4A2	HBA	3	0.0000	0.6827
MEPCE	HBA	3	0.0000	0.6827
MEPCE	HBB	3	0.0002	0.6444
EIF4A2	HBBF	3	0.0000	0.6827
MEPCE	HBBF	3	0.0000	0.6827
EIF4A2	CSN1S1	3	1.0000	0.0000
MEPCE	CSN1S1	3	1.0000	0.0000
MEPCE	CSN1S2	3	1.0000	0.0000
