Bait,FDR Bin,Method,Precision,TP
ACTB,0-0.01,PU Learning,0.76,19
ACTB,0-0.01,SAINTq,0.5,26
ACTB,0-0.01,SAINTexpress,0.75,3
ACTB,0-0.01,limma,0.3191489361702128,15
ACTB,0.01-0.05,PU Learning,0.38589211618257263,93
ACTB,0.01-0.05,SAINTq,0.5,5
ACTB,0.01-0.05,SAINTexpress,0.0,0
ACTB,0.01-0.05,limma,0.4,12
CTNNA1,0-0.01,PU Learning,0.0,0
CTNNA1,0-0.01,SAINTq,0.75,3
CTNNA1,0-0.01,SAINTexpress,0.5,1
CTNNA1,0-0.01,limma,0.0,0
CTNNA1,0.01-0.05,PU Learning,0.6470588235294118,11
CTNNA1,0.01-0.05,SAINTq,0.0,0
CTNNA1,0.01-0.05,SAINTexpress,0.0,0
CTNNA1,0.01-0.05,limma,0.2857142857142857,2
KRT8,0-0.01,PU Learning,0.3333333333333333,10
KRT8,0-0.01,SAINTq,0.23214285714285715,26
KRT8,0-0.01,SAINTexpress,0.38461538461538464,5
KRT8,0-0.01,limma,0.145985401459854,20
KRT8,0.01-0.05,PU Learning,0.24345549738219896,93
KRT8,0.01-0.05,SAINTq,0.3448275862068966,10
KRT8,0.01-0.05,SAINTexpress,0.4,2
KRT8,0.01-0.05,limma,0.1721311475409836,21
LMNA,0-0.01,PU Learning,0.5833333333333334,14
LMNA,0-0.01,SAINTq,0.40384615384615385,42
LMNA,0-0.01,SAINTexpress,1.0,10
LMNA,0-0.01,limma,0.26573426573426573,38
LMNA,0.01-0.05,PU Learning,0.4890282131661442,156
LMNA,0.01-0.05,SAINTq,0.6538461538461539,17
LMNA,0.01-0.05,SAINTexpress,1.0,2
LMNA,0.01-0.05,limma,0.4,26
MAPRE3,0-0.01,PU Learning,1.0,9
MAPRE3,0-0.01,SAINTq,0.7241379310344828,21
MAPRE3,0-0.01,SAINTexpress,1.0,1
MAPRE3,0-0.01,limma,0.23333333333333334,7
MAPRE3,0.01-0.05,PU Learning,0.7857142857142857,44
MAPRE3,0.01-0.05,SAINTq,0.7142857142857143,5
MAPRE3,0.01-0.05,SAINTexpress,1.0,3
MAPRE3,0.01-0.05,limma,0.1724137931034483,5
