Bait,FDR Bin,Method,Precision,TP
ACTB,0-0.01,PU Learning,0.92,23
ACTB,0-0.01,SAINTq,0.6538461538461539,34
ACTB,0-0.01,SAINTexpress,0.75,3
ACTB,0-0.01,limma,0.5106382978723404,24
ACTB,0.01-0.05,PU Learning,0.6348547717842323,153
ACTB,0.01-0.05,SAINTq,0.6,6
ACTB,0.01-0.05,SAINTexpress,0.6666666666666666,2
ACTB,0.01-0.05,limma,0.6,18
CTNNA1,0-0.01,PU Learning,0.0,0
CTNNA1,0-0.01,SAINTq,0.5,2
CTNNA1,0-0.01,SAINTexpress,0.5,1
CTNNA1,0-0.01,limma,0.0,0
CTNNA1,0.01-0.05,PU Learning,0.6470588235294118,11
CTNNA1,0.01-0.05,SAINTq,0.0,0
CTNNA1,0.01-0.05,SAINTexpress,0.0,0
CTNNA1,0.01-0.05,limma,0.14285714285714285,1
KRT8,0-0.01,PU Learning,0.6666666666666666,20
KRT8,0-0.01,SAINTq,0.20535714285714285,23
KRT8,0-0.01,SAINTexpress,0.3076923076923077,4
KRT8,0-0.01,limma,0.19708029197080293,27
KRT8,0.01-0.05,PU Learning,0.2670157068062827,102
KRT8,0.01-0.05,SAINTq,0.3448275862068966,10
KRT8,0.01-0.05,SAINTexpress,0.4,2
KRT8,0.01-0.05,limma,0.19672131147540983,24
LMNA,0-0.01,PU Learning,0.625,15
LMNA,0-0.01,SAINTq,0.36538461538461536,38
LMNA,0-0.01,SAINTexpress,1.0,10
LMNA,0-0.01,limma,0.32167832167832167,46
LMNA,0.01-0.05,PU Learning,0.3949843260188088,126
LMNA,0.01-0.05,SAINTq,0.23076923076923078,6
LMNA,0.01-0.05,SAINTexpress,0.5,1
LMNA,0.01-0.05,limma,0.35384615384615387,23
MAPRE3,0-0.01,PU Learning,0.5555555555555556,5
MAPRE3,0-0.01,SAINTq,0.5862068965517241,17
MAPRE3,0-0.01,SAINTexpress,1.0,1
MAPRE3,0-0.01,limma,0.2,6
MAPRE3,0.01-0.05,PU Learning,0.6071428571428571,34
MAPRE3,0.01-0.05,SAINTq,0.42857142857142855,3
MAPRE3,0.01-0.05,SAINTexpress,0.6666666666666666,2
MAPRE3,0.01-0.05,limma,0.1724137931034483,5
