Bait,FDR Bin,Method,Precision,TP
ACTB,0-0.01,PU Learning,0.7636363636363637,42
ACTB,0-0.01,SAINTq,0.6341463414634146,52
ACTB,0.01-0.05,PU Learning,0.3614457831325301,30
ACTB,0.01-0.05,SAINTq,0.44680851063829785,21
CTNNA1,0-0.01,PU Learning,0.7692307692307693,10
CTNNA1,0-0.01,SAINTq,0.7692307692307693,10
CTNNA1,0.01-0.05,PU Learning,0.5,2
CTNNA1,0.01-0.05,SAINTq,0.8,4
KRT8,0-0.01,PU Learning,0.4791666666666667,23
KRT8,0-0.01,SAINTq,0.31297709923664124,41
KRT8,0.01-0.05,PU Learning,0.2831858407079646,32
KRT8,0.01-0.05,SAINTq,0.3333333333333333,31
LMNA,0-0.01,PU Learning,0.7647058823529411,39
LMNA,0-0.01,SAINTq,0.5251798561151079,73
LMNA,0.01-0.05,PU Learning,0.42105263157894735,32
LMNA,0.01-0.05,SAINTq,0.41818181818181815,46
MAPRE3,0-0.01,PU Learning,0.8648648648648649,32
MAPRE3,0-0.01,SAINTq,0.7966101694915254,47
MAPRE3,0.01-0.05,PU Learning,0.5862068965517241,17
MAPRE3,0.01-0.05,SAINTq,0.6428571428571429,18
