Bait,FDR Bin,Method,Precision,TP
ACTB,0-0.01,PU Learning,0.8909090909090909,49
ACTB,0-0.01,SAINTq,0.7317073170731707,60
ACTB,0.01-0.05,PU Learning,0.6746987951807228,56
ACTB,0.01-0.05,SAINTq,0.7021276595744681,33
CTNNA1,0-0.01,PU Learning,0.9230769230769231,12
CTNNA1,0-0.01,SAINTq,0.7692307692307693,10
CTNNA1,0.01-0.05,PU Learning,0.5,2
CTNNA1,0.01-0.05,SAINTq,0.8,4
KRT8,0-0.01,PU Learning,0.5625,27
KRT8,0-0.01,SAINTq,0.2748091603053435,36
KRT8,0.01-0.05,PU Learning,0.336283185840708,38
KRT8,0.01-0.05,SAINTq,0.21505376344086022,20
LMNA,0-0.01,PU Learning,0.6862745098039216,35
LMNA,0-0.01,SAINTq,0.4172661870503597,58
LMNA,0.01-0.05,PU Learning,0.5263157894736842,40
LMNA,0.01-0.05,SAINTq,0.3181818181818182,35
MAPRE3,0-0.01,PU Learning,0.6216216216216216,23
MAPRE3,0-0.01,SAINTq,0.576271186440678,34
MAPRE3,0.01-0.05,PU Learning,0.4482758620689655,13
MAPRE3,0.01-0.05,SAINTq,0.6428571428571429,18
