Bait,FDR Bin,Method,Precision,TP
ACTB,0-0.01,PU Learning,0.5853658536585366,24
ACTB,0-0.01,SAINTq,0.0,0
ACTB,0-0.01,SAINTexpress,0.0,0
ACTB,0-0.01,limma,0.0,0
ACTB,0.01-0.05,PU Learning,0.4,8
ACTB,0.01-0.05,SAINTq,0.0,0
ACTB,0.01-0.05,SAINTexpress,0.0,0
ACTB,0.01-0.05,limma,0.425,17
CTNNA1,0-0.01,PU Learning,0.0,0
CTNNA1,0-0.01,SAINTq,0.0,0
CTNNA1,0-0.01,SAINTexpress,0.0,0
CTNNA1,0-0.01,limma,0.0,0
CTNNA1,0.01-0.05,PU Learning,0.0,0
CTNNA1,0.01-0.05,SAINTq,0.0,0
CTNNA1,0.01-0.05,SAINTexpress,0.0,0
CTNNA1,0.01-0.05,limma,0.0,0
KRT8,0-0.01,PU Learning,0.45,18
KRT8,0-0.01,SAINTq,0.25,1
KRT8,0-0.01,SAINTexpress,0.0,0
KRT8,0-0.01,limma,0.22727272727272727,10
KRT8,0.01-0.05,PU Learning,0.13043478260869565,3
KRT8,0.01-0.05,SAINTq,0.16666666666666666,1
KRT8,0.01-0.05,SAINTexpress,0.0,0
KRT8,0.01-0.05,limma,0.09841107124551512,192
LMNA,0-0.01,PU Learning,0.75,21
LMNA,0-0.01,SAINTq,0.3333333333333333,2
LMNA,0-0.01,SAINTexpress,1.0,1
LMNA,0-0.01,limma,0.5294117647058824,18
LMNA,0.01-0.05,PU Learning,0.6666666666666666,16
LMNA,0.01-0.05,SAINTq,1.0,3
LMNA,0.01-0.05,SAINTexpress,0.0,0
LMNA,0.01-0.05,limma,0.5882352941176471,20
MAPRE3,0-0.01,PU Learning,0.75,6
MAPRE3,0-0.01,SAINTq,0.6666666666666666,2
MAPRE3,0-0.01,SAINTexpress,0.0,0
MAPRE3,0-0.01,limma,0.75,6
MAPRE3,0.01-0.05,PU Learning,0.0,0
MAPRE3,0.01-0.05,SAINTq,0.0,0
MAPRE3,0.01-0.05,SAINTexpress,0.0,0
MAPRE3,0.01-0.05,limma,0.6666666666666666,2
