Bait,FDR Bin,Method,Precision,TP
ACTB,0-0.01,PU Learning,0.8048780487804879,33
ACTB,0-0.01,SAINTq,0.0,0
ACTB,0-0.01,SAINTexpress,0.0,0
ACTB,0-0.01,limma,0.3333333333333333,1
ACTB,0.01-0.05,PU Learning,0.8,16
ACTB,0.01-0.05,SAINTq,0.0,0
ACTB,0.01-0.05,SAINTexpress,0.0,0
ACTB,0.01-0.05,limma,0.7,28
CTNNA1,0-0.01,PU Learning,0.0,0
CTNNA1,0-0.01,SAINTq,0.0,0
CTNNA1,0-0.01,SAINTexpress,0.0,0
CTNNA1,0-0.01,limma,0.0,0
CTNNA1,0.01-0.05,PU Learning,0.0,0
CTNNA1,0.01-0.05,SAINTq,0.0,0
CTNNA1,0.01-0.05,SAINTexpress,0.0,0
CTNNA1,0.01-0.05,limma,0.0,0
KRT8,0-0.01,PU Learning,0.55,22
KRT8,0-0.01,SAINTq,0.25,1
KRT8,0-0.01,SAINTexpress,0.0,0
KRT8,0-0.01,limma,0.25,11
KRT8,0.01-0.05,PU Learning,0.34782608695652173,8
KRT8,0.01-0.05,SAINTq,0.16666666666666666,1
KRT8,0.01-0.05,SAINTexpress,0.0,0
KRT8,0.01-0.05,limma,0.20297283444387493,396
LMNA,0-0.01,PU Learning,0.7142857142857143,20
LMNA,0-0.01,SAINTq,0.5,3
LMNA,0-0.01,SAINTexpress,1.0,1
LMNA,0-0.01,limma,0.4411764705882353,15
LMNA,0.01-0.05,PU Learning,0.4583333333333333,11
LMNA,0.01-0.05,SAINTq,1.0,3
LMNA,0.01-0.05,SAINTexpress,0.0,0
LMNA,0.01-0.05,limma,0.5,17
MAPRE3,0-0.01,PU Learning,0.5,4
MAPRE3,0-0.01,SAINTq,0.3333333333333333,1
MAPRE3,0-0.01,SAINTexpress,0.0,0
MAPRE3,0-0.01,limma,0.625,5
MAPRE3,0.01-0.05,PU Learning,0.0,0
MAPRE3,0.01-0.05,SAINTq,0.0,0
MAPRE3,0.01-0.05,SAINTexpress,0.0,0
MAPRE3,0.01-0.05,limma,0.6666666666666666,2
