Bait	PreyGene	predicted_probability	FDR	background_flag_protein
ACTB	A2M	0.7617	0.137390275	likely background
ACTB	A2M	0.7485	0.145427168	
ACTB	A2ML1	0.7307	0.156659856	
ACTB	AAAS	0.6796	0.160118577	
ACTB	AAGAB	0.6011	0.22078299	
ACTB	AAK1	0.7626	0.136908893	
ACTB	AAR2	0.6136	0.211498559	
ACTB	AARS1	0.8681	0.020017794	
ACTB	AARS2	0.6801	0.160118577	
ACTB	AARSD1	0.0698	1	
ACTB	AASDH	0	1	
ACTB	AASDHPPT	0.5724	0.257450208	
ACTB	AATF	0.0097	1	
ACTB	ABCB7	0.5105	0.381163398	
ACTB	ABCC1	0.6856	0.160118577	
ACTB	ABCC3	0	1	
ACTB	ABCD1	0.5586	0.299264922	
ACTB	ABCD3	0.5888	0.233180538	
ACTB	ABCE1	0.6985	0.160118577	
ACTB	ABCF1	0.7405	0.151399031	likely background
ACTB	ABCF2	0.7626	0.136908893	
ACTB	ABCF3	0.7868	0.13554565	
ACTB	ABHD12	0.5198	0.373497428	likely background
ACTB	ABI1	0.7154	0.158189916	
ACTB	ABI2	0.6854	0.160118577	
ACTB	ABL1	0.6911	0.160118577	
ACTB	ABL2	0.7208	0.158189916	
ACTB	ABLIM1	0.9787	0	
ACTB	ABLIM3	0.83	0.064634146	
ACTB	ABR	0.6806	0.160118577	
ACTB	ABRAXAS1	0	1	
ACTB	ABRAXAS2	0.5095	0.382289618	
ACTB	ABTB2	0.6067	0.217094725	
ACTB	ACAA2	0.5259	0.365557441	
ACTB	ACACA	0.823	0.074910493	likely background
ACTB	ACACB	0.7213	0.158189916	likely background
ACTB	ACAD9	0.5095	0.382212818	
ACTB	ACADM	0	1	
ACTB	ACADVL	0.4328	0.555978744	
ACTB	ACAP2	0.535	0.350064452	
ACTB	ACAT1	0.5466	0.338730547	
ACTB	ACBD3	0.5456	0.341444256	
ACTB	ACBD6	0.6168	0.209140293	likely background
ACTB	ACIN1	0.0563	1	
ACTB	ACLY	0.7615	0.137717487	likely background
ACTB	ACO1	0.6717	0.163317916	
ACTB	ACO2	0.5359	0.350064452	
ACTB	ACOT2	0.7728	0.136908893	
ACTB	ACOT7	0.6025	0.219382861	likely background
ACTB	ACOT8	0.5119	0.380093476	
ACTB	ACOT9	0.5866	0.236934289	
ACTB	ACP1	0.0651	1	likely background
ACTB	ACSL3	0.5431	0.348329207	
ACTB	ACSL4	0.5098	0.38203101	likely background
ACTB	ACTA1	1	0	
ACTB	ACTB;ACTG1	0.9997	0	
ACTB	ACTBL2	1	0	
ACTB	ACTL6A	0.5713	0.260285866	likely background
ACTB	ACTMAP	0.6846	0.160118577	
ACTB	ACTN1	0.978	0	
ACTB	ACTN4	0.9785	0	
ACTB	ACTR10	0.5126	0.380093476	
ACTB	ACTR2	0.6911	0.160118577	likely background
ACTB	ACTR3	0.7867	0.13554565	likely background
ACTB	ACY1	0.535	0.350064452	
ACTB	ACYP2	0.6141	0.211240254	likely background
ACTB	ADA	0.4582	0.534739037	likely background
ACTB	ADAM12	0	1	
ACTB	ADAM17	0	1	
ACTB	ADAR	0.6848	0.160118577	
ACTB	ADD1	0.871	0.019572144	
ACTB	ADD3	0.9542	0.001915709	
ACTB	ADI1	0.4029	0.584768107	likely background
ACTB	ADNP	0.0077	1	
ACTB	ADNP2	0	1	
ACTB	ADPGK	0.585	0.238573721	
ACTB	ADRM1	0.5474	0.337270935	likely background
ACTB	ADSL	0.7037	0.160118577	
ACTB	ADSS2	0.512	0.380093476	likely background
ACTB	AFAP1	0.9889	0	
ACTB	AFAP1L1	0.7231	0.158189916	
ACTB	AFDN	0.929	0.003937008	
ACTB	AFF1	0.0066	1	
ACTB	AFF4	0.0076	1	
ACTB	AFG2A	0.6725	0.163317916	
ACTB	AFG2B	0.6679	0.164876156	
ACTB	AFG3L2	0.6726	0.163317916	
ACTB	AFTPH	0.687	0.160118577	
ACTB	AGAP1	0.6848	0.160118577	
ACTB	AGAP3	0.5505	0.329921231	likely background
ACTB	AGFG1	0.9646	0	likely background
ACTB	AGFG2	0.5294	0.35683874	
ACTB	AGGF1	0	1	
ACTB	AGK	0.6844	0.160118577	
ACTB	AGL	0.6848	0.160118577	
ACTB	AGO1	0.503	0.400078733	
ACTB	AGO2	0.5782	0.249390379	
ACTB	AGO3	0.6844	0.160118577	
ACTB	AGPS	0.6717	0.163317916	
ACTB	AGTPBP1	0.6717	0.163317916	
ACTB	AHCTF1	0.0429	1	
ACTB	AHCY	0.7529	0.143214995	likely background
ACTB	AHCYL1	0.7551	0.142511428	
ACTB	AHDC1	0.4749	0.491521206	
ACTB	AHI1	0.7484	0.145427168	
ACTB	AHNAK	0.9991	0	likely background
ACTB	AHNAK2	0.9869	0	likely background
ACTB	AHR	0.5568	0.309183238	
ACTB	AHRR	0.5251	0.365557441	
ACTB	AHSA1	0.7241	0.158189916	
ACTB	AIMP1	0.5363	0.350064452	
ACTB	AIMP2	0.7026	0.160118577	likely background
ACTB	AIP	0.6459	0.183571233	likely background
ACTB	AJUBA	0.619	0.207729179	
ACTB	AK1	0.6253	0.202222706	likely background
ACTB	AK2	0.5413	0.350064452	likely background
ACTB	AK6	0	1	
ACTB	AKAP1	0.7065	0.160118577	
ACTB	AKAP10	0.5445	0.344113063	
ACTB	AKAP11	0.7525	0.143553769	
ACTB	AKAP12	0.7088	0.160118577	
ACTB	AKAP13	0.7812	0.136908893	likely background
ACTB	AKAP17A	0.0429	1	
ACTB	AKAP8	0.0484	1	
ACTB	AKAP8L	0.5034	0.39947528	
ACTB	AKAP9	0.6894	0.160118577	likely background
ACTB	AKR1A1	0.6807	0.160118577	likely background
ACTB	AKR1C2	0.5387	0.350064452	likely background
ACTB	AKR1C3	0.8202	0.078030898	
ACTB	AKT1	0.5621	0.284783836	
ACTB	AKT1S1	0.6854	0.160118577	
ACTB	AKT2	0.5327	0.352238853	
ACTB	ALAS1	0.7116	0.159749919	
ACTB	ALB	0.9623	0	
ACTB	ALDH16A1	0.0645	1	
ACTB	ALDH18A1	0.7645	0.136908893	
ACTB	ALDH1A3	0.6884	0.160118577	
ACTB	ALDH1B1	0.5755	0.251612063	
ACTB	ALDH2	0.5053	0.391717776	
ACTB	ALDH3A1	0.5886	0.233304713	
ACTB	ALDH3A2	0.6668	0.165638701	
ACTB	ALDH3B1	0.6807	0.160118577	
ACTB	ALDH7A1	0.5565	0.310280121	
ACTB	ALDOA	0.6769	0.160666119	likely background
ACTB	ALG1	0.5055	0.391717776	
ACTB	ALKBH3	0.5146	0.380093476	likely background
ACTB	ALMS1	0.7097	0.160118577	
ACTB	ALOX12B	0.6794	0.160118577	
ACTB	ALPK2	0.5356	0.350064452	
ACTB	ALYREF	0.0102	1	likely background
ACTB	AMER1	0	1	
ACTB	AMOT	0.6588	0.171358096	
ACTB	AMOTL1	0.7529	0.143411856	
ACTB	AMOTL2	0.6786	0.160130719	
ACTB	AMPD2	0.7356	0.15514264	
ACTB	ANAPC1	0.6982	0.160118577	likely background
ACTB	ANAPC16	0.4953	0.441306245	likely background
ACTB	ANAPC2	0	1	
ACTB	ANAPC4	0	1	
ACTB	ANAPC5	0.7993	0.11891087	
ACTB	ANAPC7	0.5016	0.401807032	
ACTB	ANGEL2	0	1	
ACTB	ANK3	0.5057	0.391717776	
ACTB	ANKFY1	0.5513	0.327595562	
ACTB	ANKHD1	0.7576	0.141794514	likely background
ACTB	ANKLE2	0.6021	0.219587328	
ACTB	ANKRD11	0	1	
ACTB	ANKRD12	0	1	
ACTB	ANKRD17	0.7584	0.140485792	
ACTB	ANKRD20A12P	0.0563	1	
ACTB	ANKRD26	0.7678	0.136908893	
ACTB	ANKRD27	0.5329	0.352062388	
ACTB	ANKRD28	0.7522	0.144048328	
ACTB	ANKRD40	0.5377	0.350064452	
ACTB	ANKRD50	0.7049	0.160118577	
ACTB	ANKRD52	0.6	0.221931637	
ACTB	ANKS1A	0.6848	0.160118577	
ACTB	ANKS6	0.7484	0.145427168	
ACTB	ANKZF1	0.5148	0.380093476	
ACTB	ANLN	0.756	0.142511428	likely background
ACTB	ANO10	0.468	0.512848154	
ACTB	ANO6	0.5353	0.350064452	
ACTB	ANP32B	0.3616	0.628025616	
ACTB	ANTXR1	0.6679	0.164876156	
ACTB	ANXA1	0.822	0.077510917	likely background
ACTB	ANXA10	0.5201	0.372851938	likely background
ACTB	ANXA11	0.5393	0.350064452	
ACTB	ANXA2	0.9936	0	likely background
ACTB	ANXA3	0.4757	0.489751568	likely background
ACTB	ANXA5	0.5656	0.275270721	likely background
ACTB	ANXA6	0.685	0.160118577	
ACTB	ANXA7	0.5305	0.354976898	
ACTB	ANXA8;ANXA8L1	0.5144	0.380093476	
ACTB	AP1B1	0.4553	0.537809979	
ACTB	AP1G1	0.6786	0.160130719	
ACTB	AP1M1	0.5531	0.321814255	
ACTB	AP1S1	0	1	
ACTB	AP2A1	0.697	0.160118577	
ACTB	AP2A2	0.7119	0.159337398	
ACTB	AP2B1	0.6618	0.169237533	
ACTB	AP2S1	0.5868	0.236886712	
ACTB	AP3B1	0.7249	0.158189916	
ACTB	AP3D1	0.725	0.158189916	likely background
ACTB	AP3M1	0.5952	0.225071727	
ACTB	AP3S1	0.5973	0.223895891	likely background
ACTB	AP4B1	0.5038	0.397788786	
ACTB	AP4E1	0.6798	0.160118577	
ACTB	AP4M1	0.7628	0.136908893	
ACTB	AP5B1	0.516	0.380093476	
ACTB	AP5Z1	0	1	
ACTB	APBB1	0.7409	0.151399031	likely background
ACTB	APBB2	0.6844	0.160118577	
ACTB	APC	0.7095	0.160118577	likely background
ACTB	APEH	0.5898	0.231624816	
ACTB	APEX2	0.5365	0.350064452	likely background
ACTB	API5	0.5343	0.350165142	
ACTB	APOBEC4	0	1	
ACTB	APOOL	0.521	0.371078961	
ACTB	APP	0	1	
ACTB	APPL1	0.7702	0.136908893	
ACTB	APPL2	0.7646	0.136908893	
ACTB	AQR	0.6807	0.160118577	
