Bait,FDR Bin,Method,Precision,TP
ACTB,0-0.01,PU Learning,0.5572519083969466,73
ACTB,0-0.01,PU excl. background,0.6172839506172839,50
ACTB,0-0.01,SAINTq,0.40384615384615385,21
ACTB,0-0.01,SAINTexpress,0.0,0
ACTB,0-0.01,limma,0.3409090909090909,15
ACTB,0.01-0.05,PU Learning,0.18625678119349007,103
ACTB,0.01-0.05,PU excl. background,0.19753086419753085,48
ACTB,0.01-0.05,SAINTq,0.5,5
ACTB,0.01-0.05,SAINTexpress,0.0,0
ACTB,0.01-0.05,limma,0.2,4
CTNNA1,0-0.01,PU Learning,0.7142857142857143,5
CTNNA1,0-0.01,PU excl. background,0.6,3
CTNNA1,0-0.01,SAINTq,0.6,3
CTNNA1,0-0.01,SAINTexpress,0.0,0
CTNNA1,0-0.01,limma,0.5,2
CTNNA1,0.01-0.05,PU Learning,0.6363636363636364,7
CTNNA1,0.01-0.05,PU excl. background,0.5,2
CTNNA1,0.01-0.05,SAINTq,1.0,1
CTNNA1,0.01-0.05,SAINTexpress,0.0,0
CTNNA1,0.01-0.05,limma,0.0,0
KRT8,0-0.01,PU Learning,0.22169811320754718,47
KRT8,0-0.01,PU excl. background,0.3103448275862069,36
KRT8,0-0.01,SAINTq,0.14583333333333334,21
KRT8,0-0.01,SAINTexpress,0.0,0
KRT8,0-0.01,limma,0.0811965811965812,19
KRT8,0.01-0.05,PU Learning,0.12927756653992395,102
KRT8,0.01-0.05,PU excl. background,0.15591397849462366,58
KRT8,0.01-0.05,SAINTq,0.18421052631578946,7
KRT8,0.01-0.05,SAINTexpress,0.5,1
KRT8,0.01-0.05,limma,0.11024305555555555,127
LMNA,0-0.01,PU Learning,0.6046511627906976,78
LMNA,0-0.01,PU excl. background,0.6732673267326733,68
LMNA,0-0.01,SAINTq,0.3046875,39
LMNA,0-0.01,SAINTexpress,1.0,2
LMNA,0-0.01,limma,0.16990291262135923,35
LMNA,0.01-0.05,PU Learning,0.3075060532687651,127
LMNA,0.01-0.05,PU excl. background,0.3090909090909091,85
LMNA,0.01-0.05,SAINTq,0.2962962962962963,8
LMNA,0.01-0.05,SAINTexpress,0.0,0
LMNA,0.01-0.05,limma,0.2782608695652174,32
MAPRE3,0-0.01,PU Learning,1.0,26
MAPRE3,0-0.01,PU excl. background,1.0,24
MAPRE3,0-0.01,SAINTq,0.7857142857142857,22
MAPRE3,0-0.01,SAINTexpress,1.0,1
MAPRE3,0-0.01,limma,0.5454545454545454,12
MAPRE3,0.01-0.05,PU Learning,0.6222222222222222,28
MAPRE3,0.01-0.05,PU excl. background,0.65,13
MAPRE3,0.01-0.05,SAINTq,0.5555555555555556,5
MAPRE3,0.01-0.05,SAINTexpress,0.0,0
MAPRE3,0.01-0.05,limma,0.23076923076923078,3
