Bait,FDR Bin,Method,Precision,TP
ACTB,0-0.01,PU Learning,0.7557251908396947,99
ACTB,0-0.01,PU excl. background,0.8024691358024691,65
ACTB,0-0.01,SAINTq,0.5384615384615384,28
ACTB,0-0.01,SAINTexpress,0.0,0
ACTB,0-0.01,limma,0.5454545454545454,24
ACTB,0.01-0.05,PU Learning,0.5081374321880651,281
ACTB,0.01-0.05,PU excl. background,0.4773662551440329,116
ACTB,0.01-0.05,SAINTq,0.5,5
ACTB,0.01-0.05,SAINTexpress,0.0,0
ACTB,0.01-0.05,limma,0.45,9
CTNNA1,0-0.01,PU Learning,0.42857142857142855,3
CTNNA1,0-0.01,PU excl. background,0.4,2
CTNNA1,0-0.01,SAINTq,0.4,2
CTNNA1,0-0.01,SAINTexpress,0.0,0
CTNNA1,0-0.01,limma,0.25,1
CTNNA1,0.01-0.05,PU Learning,0.7272727272727273,8
CTNNA1,0.01-0.05,PU excl. background,0.5,2
CTNNA1,0.01-0.05,SAINTq,1.0,1
CTNNA1,0.01-0.05,SAINTexpress,0.0,0
CTNNA1,0.01-0.05,limma,0.0,0
KRT8,0-0.01,PU Learning,0.36792452830188677,78
KRT8,0-0.01,PU excl. background,0.39655172413793105,46
KRT8,0-0.01,SAINTq,0.16666666666666666,24
KRT8,0-0.01,SAINTexpress,0.0,0
KRT8,0-0.01,limma,0.13675213675213677,32
KRT8,0.01-0.05,PU Learning,0.26362484157160965,208
KRT8,0.01-0.05,PU excl. background,0.2768817204301075,103
KRT8,0.01-0.05,SAINTq,0.18421052631578946,7
KRT8,0.01-0.05,SAINTexpress,0.5,1
KRT8,0.01-0.05,limma,0.2074652777777778,239
LMNA,0-0.01,PU Learning,0.4806201550387597,62
LMNA,0-0.01,PU excl. background,0.48514851485148514,49
LMNA,0-0.01,SAINTq,0.28125,36
LMNA,0-0.01,SAINTexpress,1.0,2
LMNA,0-0.01,limma,0.22330097087378642,46
LMNA,0.01-0.05,PU Learning,0.29055690072639223,120
LMNA,0.01-0.05,PU excl. background,0.29454545454545455,81
LMNA,0.01-0.05,SAINTq,0.37037037037037035,10
LMNA,0.01-0.05,SAINTexpress,0.0,0
LMNA,0.01-0.05,limma,0.3391304347826087,39
MAPRE3,0-0.01,PU Learning,0.6153846153846154,16
MAPRE3,0-0.01,PU excl. background,0.625,15
MAPRE3,0-0.01,SAINTq,0.4642857142857143,13
MAPRE3,0-0.01,SAINTexpress,1.0,1
MAPRE3,0-0.01,limma,0.3181818181818182,7
MAPRE3,0.01-0.05,PU Learning,0.4666666666666667,21
MAPRE3,0.01-0.05,PU excl. background,0.5,10
MAPRE3,0.01-0.05,SAINTq,0.4444444444444444,4
MAPRE3,0.01-0.05,SAINTexpress,0.0,0
MAPRE3,0.01-0.05,limma,0.5384615384615384,7
