Bait,Prey,mean_diff,mean_diff_FDR_shuffle,mean_diff_FDR_pairs,FDR
ACTB,BSTAR,4120326.666666666,1.0,0.0,0.0
ACTB,CCT8,3607450.922222222,1.0,0.2222222222222222,0.0
ACTB,FLNA,3226408.033333333,1.0,0.18181818181818182,0.0
ACTB,AHNAK,2558778.4333333336,1.0,0.2857142857142857,0.029542097488921712
ACTB,IGLC2;IGLC3;IGLC6;IGLC7,157147.11022222225,1.0,1.0,0.0
ACTB,ACTB;ACTG1,2664820.555555556,1.0,0.3076923076923077,0.0
ACTB,TAGLN2,2114059.0999999996,1.0,0.5,0.0
ACTB,ACTBL2,2070438.4,1.0,0.5294117647058824,0.0
ACTB,LTF,96603.7768888889,1.0,1.0,0.0
ACTB,IGKC,93756.11022222224,1.0,1.0,0.0
ACTB,BPIFB1,91172.7768888889,1.0,1.0,0.0
ACTB,MYH9,1627351.888888889,1.0,0.8181818181818182,0.0
ACTB,BPIFA1,81722.11022222223,1.0,1.0,0.0
ACTB,ACTC1,1436867.3,1.0,0.782608695652174,0.0
ACTB,POTEF,993363.0222222222,1.0,0.967741935483871,0.0
ACTB,TUBA1D,946557.8722222222,1.0,0.9090909090909091,0.0
ACTB,JCHAIN,47789.110222222225,1.0,1.0,0.0
ACTB,ANXA2,779172.5555555556,1.0,0.8918918918918919,0.03248587570621469
ACTB,CTTN,822990.271111111,1.0,0.8888888888888888,0.0
ACTB,KRT10,764947.0,1.0,0.9230769230769231,0.0
ACTB,MAP4,661444.2222222221,1.0,0.9024390243902439,0.059873949579831935
ACTB,TMOD1,18388.876888888888,1.0,1.0,0.05020408163265306
ACTB,KRT1,576575.1111111111,1.0,0.9795918367346939,0.0
ACTB,AHNAK2,618931.3133333335,1.0,0.9111111111111111,0.0
ACTB,LIMA1,648021.7444444445,1.0,0.9285714285714286,0.0
ACTB,IGKV3D-20,33256.610222222225,1.0,1.0,0.0
ACTB,KRT19,459286.37777777767,1.0,0.9375,0.0
ACTB,S100A9,12595.376888888886,1.0,1.0,0.09015715467328371
ACTB,PDLIM7,573033.6011111111,1.0,0.98,0.0
ACTB,IGHA1,452053.1988888889,1.0,0.9230769230769231,0.0
ACTB,NPAS3,11690.820222222224,1.0,1.0,0.0929853181076672
ACTB,VIM,385797.8444444444,1.0,0.9861111111111112,0.03492884864165589
ACTB,C3,10800.776888888888,1.0,1.0,0.07986577181208054
ACTB,LIMCH1,485998.2333333333,1.0,0.9830508474576272,0.0
ACTB,ZG16B,23952.14355555556,1.0,1.0,0.03670886075949367
ACTB,DPH6,9908.400222222224,1.0,1.0,0.059488692232055065
ACTB,SERPINB3,22534.343555555555,1.0,1.0,0.03670886075949367
ACTB,LCN15,22307.77688888889,1.0,1.0,0.03670886075949367
ACTB,ATP8A2,8939.986888888889,1.0,1.0,0.07889546351084813
ACTB,KRT2,319838.69999999995,1.0,1.0,0.0489749430523918
ACTB,PALLD,389857.6555555556,1.0,0.9714285714285714,0.0
ACTB,MYH15,7490.70688888889,1.0,1.0,0.0489065606361829
ACTB,PROSER2,7388.320222222222,1.0,1.0,0.0485781990521327
ACTB,DAPK3,7368.328555555557,1.0,1.0,0.07965194109772424
ACTB,LUZP1,330511.0165555556,1.0,1.0,0.0
ACTB,MLLT11,6965.700222222223,1.0,1.0,0.0485781990521327
ACTB,SYNPO,307721.73222222226,1.0,1.0,0.0
ACTB,ZYX,323875.2222222222,1.0,1.0,0.0
ACTB,ZNF510,16295.276888888888,1.0,1.0,0.09112709832134293
ACTB,MISP,290018.00444444444,1.0,1.0,0.0
ACTB,IGKV3-15;IGKV3-7;IGKV3D-7,15838.843555555552,1.0,1.0,0.09112709832134293
ACTB,IGKV4-1,15784.576888888889,1.0,1.0,0.09112709832134293
ACTB,TRYP,243198.3333333335,1.0,1.0,0.11725206611570248
ACTB,CALD1,292409.72733333334,1.0,1.0,0.0
ACTB,ACTN4,282100.99,1.0,1.0,0.0
ACTB,MAP3K4,5986.973555555556,1.0,1.0,0.08550724637681159
ACTB,LRRN2,14728.51022222222,1.0,1.0,0.09112709832134293
ACTB,IGHA2,14663.243555555557,1.0,1.0,0.09112709832134293
ACTB,TUBB6,258480.0555555556,1.0,1.0,0.030837004405286344
ACTB,S100A8,14595.943555555556,1.0,1.0,0.09112709832134293
ACTB,CAP1,291995.2877777778,1.0,1.0,0.0
ACTB,STREPT,603637.777777778,1.0,0.9574468085106383,0.34969084306605164
ACTB,FHOD3,23477.207555555557,1.0,1.0,0.050175029171528586
ACTB,MSN,284662.0088888889,1.0,1.0,0.0030211480362537764
ACTB,IFI16,256858.46666666665,1.0,1.0,0.0847926267281106
ACTB,SPIRE2,5198.600222222223,1.0,1.0,0.05020408163265306
ACTB,IGHV3-49,13415.443555555556,1.0,1.0,0.09112709832134293
ACTB,IGKV3-20,13373.743555555557,1.0,1.0,0.09112709832134293
ACTB,TBCB,5114.576888888889,1.0,1.0,0.054270462633451956
ACTB,TJP1,247676.2488888889,1.0,1.0,0.0
ACTB,BSDC1,4971.576888888889,1.0,1.0,0.05020408163265306
ACTB,FMNL3,4909.9002222222225,1.0,1.0,0.05218498090793382
ACTB,ZBED3,4913.913555555556,1.0,1.0,0.05125
ACTB,ITPRID1,12690.176888888887,1.0,1.0,0.09112709832134293
ACTB,APOA4,12678.443555555556,1.0,1.0,0.09112709832134293
ACTB,CCDC39,12637.110222222222,1.0,1.0,0.09112709832134293
