Bait,Prey
EGFR,CBL
EGFR,GRB2
EGFR,SHC1
EGFR,ERBB2
EGFR,SRC
EGFR,STAT3
EGFR,ERRFI1
EGFR,CBLB
EGFR,CAV1
EGFR,PIK3R1
EGFR,SOS1
EGFR,EGF
EGFR,PLCG1
EGFR,SH3KBP1
EGFR,GAB1
EGFR,PTPN11
EGFR,STUB1
EGFR,CRK
EGFR,PTPN1
EGFR,MUC1
EGFR,UBASH3B
EGFR,CBLC
EGFR,AP2M1
EGFR,PIK3R2
EGFR,HSP90AA1
EGFR,AP2A1
EGFR,HSPA8
EGFR,TNK2
EGFR,HGS
EGFR,CTNND1
EGFR,HDAC6
EGFR,SHC4
EGFR,STAT1
EGFR,EPS15
EGFR,SFN
EGFR,CALM1
EGFR,SOS2
EGFR,AP2A2
EGFR,STAT5A
EGFR,TNS3
EGFR,PRKCA
EGFR,CTNNB1
EGFR,LYN
EGFR,HSP90AB1
EGFR,SHC3
EGFR,VAV2
EGFR,USP8
EGFR,UCHL1
EGFR,NCK1
EGFR,PTPN6
EGFR,CD44
EGFR,CDC37
EGFR,NCK2
EGFR,PLCG2
EGFR,SH3GL2
EGFR,ERBB3
EGFR,CRKL
EGFR,ERBB4
EGFR,AP2B1
EGFR,SMURF2
EGFR,SOCS3
EGFR,HSPA4
EGFR,CDH1
EGFR,HSPA1A
EGFR,JUP
EGFR,AP1B1
EGFR,VAV1
EGFR,S
EGFR,PIK3R3
EGFR,ANKS1A
EGFR,VAV3
EGFR,GAPDH
EGFR,PDCD6IP
EGFR,JAK2
EGFR,EPS8
EGFR,SH2D3A
EGFR,PRKDC
EGFR,ENO1
EGFR,YWHAZ
EGFR,CDC34
EGFR,PIK3C2B
EGFR,EMD
EGFR,BAIAP2
EGFR,CSK
EGFR,TRAF2
EGFR,NEDD4
EGFR,CCDC88A
EGFR,AP2S1
EGFR,PTPN12
EGFR,PIK3CA
EGFR,AXL
EGFR,ZAP70
EGFR,PFKP
EGFR,BLK
EGFR,SEC61A1
EGFR,ACTN4
EGFR,RET
EGFR,UGGT1
EGFR,ARF6
EGFR,PML
EGFR,PON2
EGFR,SHC2
EGFR,COX2
EGFR,CAV2
EGFR,GNAS
EGFR,GGA2
EGFR,KRAS
EGFR,GNAI3
EGFR,ERCC1
EGFR,RAB31
EGFR,GSTP1
EGFR,AR
EGFR,CTTN
EGFR,TUBA1A
EGFR,SLC3A2
EGFR,ORF7b
EGFR,CANX
EGFR,ANKRD13A
EGFR,MET
EGFR,ATP1A1
EGFR,RLIM
