Bait,Prey
EGFR,GREM1
EGFR,DCSTAMP
EGFR,DYNLT4
EGFR,ANO1
EGFR,UPF3A
EGFR,PRKG2
EGFR,XKR8
EGFR,CSF1R
EGFR,GFRAL
EGFR,PPFIA2
EGFR,RAP1A
EGFR,IRF2
EGFR,TEK
EGFR,VTI1B
EGFR,MPLKIP
EGFR,ADCY1
EGFR,RANGRF
EGFR,CDKN1A
EGFR,BCL2L10
EGFR,GTF3C3
EGFR,UBB
EGFR,NFATC1
EGFR,CA9
EGFR,CLEC2D
EGFR,HMGA1
EGFR,CLU
EGFR,TPD52
EGFR,CNEP1R1
EGFR,YES1
EGFR,NDP
EGFR,HERC3
EGFR,AP1S3
EGFR,NDFIP2
EGFR,MS4A3
EGFR,APMAP
EGFR,SLC43A1
EGFR,AANAT
EGFR,STC2
EGFR,KIF21B
EGFR,COMT
EGFR,SPATA46
EGFR,CAMKMT
EGFR,NUP155
EGFR,DAGLA
EGFR,TSHR
EGFR,CORO1C
EGFR,NDOR1
EGFR,CAVIN3
EGFR,CX3CL1
EGFR,ARHGEF7
EGFR,RELB
EGFR,FOXN2
EGFR,ZNF232
EGFR,NGFR
EGFR,TMEM74
EGFR,AGFG1
EGFR,SMURF2
EGFR,EEF1AKMT3
EGFR,TRABD2B
EGFR,SLC17A3
EGFR,HMGCL
EGFR,SPESP1
EGFR,SLC23A2
EGFR,GPIHBP1
EGFR,DDX4
EGFR,F2RL2
EGFR,SLC16A8
EGFR,LEPR
EGFR,ITGA1
EGFR,TGOLN2
EGFR,GPC2
EGFR,CST5
EGFR,ARHGAP10
EGFR,WDPCP
EGFR,AP2A1
EGFR,NANOS3
EGFR,HDAC10
EGFR,DCTN2
EGFR,CD209
EGFR,STK4
EGFR,SPRN
EGFR,SPRY2
EGFR,SOX30
EGFR,CR1L
EGFR,KDF1
EGFR,SELE
EGFR,GABRB2
EGFR,LIMS2
EGFR,URS000035CC3E_9606
EGFR,SNX27
EGFR,RNF125
EGFR,APH1A
EGFR,ZBTB17
EGFR,NUP93
EGFR,MGST2
EGFR,DOP1B
EGFR,SARM1
EGFR,HYAL4
EGFR,RPL19
EGFR,ASB15
EGFR,FCER1A
EGFR,PRRT2
EGFR,NLRP6
EGFR,NLRP10
EGFR,MPDZ
EGFR,SAFB2
EGFR,RYR1
EGFR,CD1C
EGFR,NSMF
EGFR,MNDA
EGFR,VGF
EGFR,RAD52
EGFR,TNFSF12
EGFR,XRCC5
EGFR,TH
EGFR,SLC5A3
EGFR,wash_human-1-6
EGFR,UBR5
EGFR,GDE1
EGFR,MDC1
EGFR,GATA6
EGFR,CRB3
EGFR,BMX
EGFR,PARVB
EGFR,STARD3NL
EGFR,SLC2A1
EGFR,IL15
EGFR,SLC30A7
EGFR,SLC30A9
EGFR,MYBBP1A
EGFR,RASA2
EGFR,CHGA
EGFR,SLC4A5
EGFR,PSG6
EGFR,LAMP1
EGFR,MYOF
EGFR,ZNRF1
EGFR,TIGIT
EGFR,SLC9A9
EGFR,KLRB1
EGFR,CTSC
EGFR,ADRA2B
EGFR,EXOSC4
EGFR,NOTCH2
EGFR,CYBRD1
EGFR,AXIN1
EGFR,AQP3
EGFR,RAB12
EGFR,KRT18
EGFR,FCGRT
EGFR,GPN3
EGFR,CBX5
EGFR,CALN1
EGFR,TRPV4
EGFR,WASH3P
EGFR,INSRR
EGFR,MEF2D
EGFR,STARD8
EGFR,GFRA1
EGFR,SLC51B
EGFR,TNFRSF10B
EGFR,PHB2
EGFR,RXRA
EGFR,PPFIA1
EGFR,PLA2G1B
EGFR,BCAR3
EGFR,FLACC1
EGFR,CYP2D6
EGFR,PFKM
EGFR,AGGF1
EGFR,SENP1
EGFR,PIK3R4
EGFR,LAMP3
EGFR,VAMP7
EGFR,OBSL1
EGFR,SHROOM1
EGFR,DEPDC5
EGFR,CNTFR
EGFR,CD163
EGFR,COL6A2
EGFR,DNAJB14
EGFR,ALDH3A2
EGFR,ST8SIA2
EGFR,TRAF4
EGFR,YEATS4
EGFR,MYC
EGFR,SLC7A7
EGFR,DAAM1
EGFR,SMAD5
EGFR,SDR9C7
EGFR,SLC16A1
EGFR,PEX11A
EGFR,PLEKHG4B
EGFR,ME2
EGFR,IKZF1
EGFR,TPCN1
EGFR,LTK
EGFR,IQSEC1
EGFR,CGN
EGFR,SVIL
EGFR,P2RY6
EGFR,TGFB1
EGFR,RNF144A
EGFR,CAV3
EGFR,CFAP126
EGFR,COPS5
EGFR,ARHGDIG
EGFR,PIK3R1
EGFR,PIK3CA
EGFR,TGFBR1
EGFR,CARD8
EGFR,CA14
EGFR,NECTIN2
EGFR,HLA-DPB1
EGFR,ARHGEF18
EGFR,ATP6V0D2
EGFR,CCN2
EGFR,NAE1
EGFR,CD3G
EGFR,KIF16B
EGFR,FCRL3
EGFR,SCIN
EGFR,CYP1B1
EGFR,VPS41
EGFR,AQP5
EGFR,KCNA1
EGFR,MT-RNR2
EGFR,SHH
EGFR,TRAF6
EGFR,GALNT3
EGFR,escrt-i_human
EGFR,TSPAN15
EGFR,CYP4A11
EGFR,ERP44
EGFR,LMLN
EGFR,LMNA
EGFR,WNT5A
EGFR,MAGEE1
EGFR,EPS15
EGFR,P2RY12
