Bait,FDR Bin,Method,Precision,TP
EGFR,0-0.01,PU Learning,0.4124293785310734,73
EGFR,0-0.01,SAINTq,0.29148629148629146,202
EGFR,0-0.01,SAINTexpress,0.4225352112676056,30
EGFR,0-0.01,limma,0.2532299741602067,98
EGFR,0.01-0.05,PU Learning,0.37037037037037035,30
EGFR,0.01-0.05,SAINTq,0.3465346534653465,70
EGFR,0.01-0.05,SAINTexpress,0.2692307692307692,14
EGFR,0.01-0.05,limma,0.24719101123595505,44
PDHA1,0-0.01,PU Learning,0.7017543859649122,40
PDHA1,0-0.01,SAINTq,0.652542372881356,154
PDHA1,0-0.01,SAINTexpress,0.8333333333333334,20
PDHA1,0-0.01,limma,0.6242038216560509,98
PDHA1,0.01-0.05,PU Learning,0.5294117647058824,9
PDHA1,0.01-0.05,SAINTq,0.46153846153846156,18
PDHA1,0.01-0.05,SAINTexpress,0.8235294117647058,14
PDHA1,0.01-0.05,limma,0.2818181818181818,31
RAB11A,0-0.01,PU Learning,0.5945945945945946,110
RAB11A,0-0.01,SAINTq,0.4498525073746313,305
RAB11A,0-0.01,SAINTexpress,0.797752808988764,71
RAB11A,0-0.01,limma,0.3860103626943005,149
RAB11A,0.01-0.05,PU Learning,0.33962264150943394,36
RAB11A,0.01-0.05,SAINTq,0.14035087719298245,40
RAB11A,0.01-0.05,SAINTexpress,0.7837837837837838,29
RAB11A,0.01-0.05,limma,0.23412698412698413,59
