Bait,FDR Bin,Method,Precision,TP
EGFR,0-0.01,PU Learning,0.6384180790960452,113
EGFR,0-0.01,SAINTq,0.4906204906204906,340
EGFR,0-0.01,SAINTexpress,0.5633802816901409,40
EGFR,0-0.01,limma,0.4289405684754522,166
EGFR,0.01-0.05,PU Learning,0.5679012345679012,46
EGFR,0.01-0.05,SAINTq,0.3712871287128713,75
EGFR,0.01-0.05,SAINTexpress,0.6153846153846154,32
EGFR,0.01-0.05,limma,0.449438202247191,80
PDHA1,0-0.01,PU Learning,0.6491228070175439,37
PDHA1,0-0.01,SAINTq,0.6779661016949152,160
PDHA1,0-0.01,SAINTexpress,0.8333333333333334,20
PDHA1,0-0.01,limma,0.6878980891719745,108
PDHA1,0.01-0.05,PU Learning,0.4117647058823529,7
PDHA1,0.01-0.05,SAINTq,0.4358974358974359,17
PDHA1,0.01-0.05,SAINTexpress,0.7647058823529411,13
PDHA1,0.01-0.05,limma,0.42727272727272725,47
RAB11A,0-0.01,PU Learning,0.4594594594594595,85
RAB11A,0-0.01,SAINTq,0.4026548672566372,273
RAB11A,0-0.01,SAINTexpress,0.5280898876404494,47
RAB11A,0-0.01,limma,0.36787564766839376,142
RAB11A,0.01-0.05,PU Learning,0.4056603773584906,43
RAB11A,0.01-0.05,SAINTq,0.25263157894736843,72
RAB11A,0.01-0.05,SAINTexpress,0.4864864864864865,18
RAB11A,0.01-0.05,limma,0.28174603174603174,71
