initial_positives,initial_negatives,fdr_hits,kl_divergence,wasserstein_distance,roc_auc,median_score_difference
1,100,11,0.9122270755602426,0.068230760647201,0.43327757395905064,-0.11589999999999998
1,200,9,0.9550551042591919,0.07395432397247535,0.43338539107007074,-0.12159999999999994
1,500,9,0.9430964218219463,0.07016202343314115,0.432338045162061,-0.13209999999999994
1,1000,9,0.9649189516884141,0.07511098505982271,0.43371186881464174,-0.1340999999999999
5,100,152,1.30068561562536,0.11722270782964479,0.42179129888513034,-0.20940000000000003
5,200,158,1.308225415900036,0.117022924803174,0.4248493291902202,-0.2123
5,500,161,1.4506643538752155,0.11036573058086915,0.4177483685902973,-0.1998000000000001
5,1000,161,1.2733454176793584,0.11149356518504744,0.4181869234803766,-0.20200000000000012
10,100,339,1.425552079748401,0.12623836711921144,0.42215049646157543,-0.22160000000000005
10,200,320,1.395953440976888,0.124285878122869,0.421950797497095,-0.2236000000000001
10,500,318,1.405079292106408,0.12083416403198807,0.42078436469805924,-0.2177
10,1000,308,1.4319876825020712,0.12009779306924555,0.4184288653849509,-0.21559999999999999
15,100,574,1.3811045387026601,0.1349720042154857,0.42484774584857904,-0.2396
15,200,554,1.4066079922580346,0.13192010414729405,0.426484713580088,-0.2387999999999999
15,500,552,1.432331003005135,0.12757403756741675,0.42317413451865366,-0.2263
15,1000,550,1.3824456029855192,0.12771340276486268,0.4214107473333731,-0.2308999999999999
20,100,804,1.44076871250528,0.14025468352860948,0.42391469837604984,-0.23340000000000008
20,200,735,1.5135989930784288,0.13748662823135577,0.42547938579303124,-0.23869999999999988
20,500,736,1.469060418921889,0.13390593887545718,0.42484754024474947,-0.22790000000000007
20,1000,721,1.4000567416394998,0.1332715826669146,0.4248876983235805,-0.22699999999999995
25,100,847,1.3054561467668782,0.14829455086479448,0.4237995794467821,-0.24240000000000006
25,200,746,1.5030700259317087,0.14403337052879545,0.4254077703282706,-0.2423
25,500,715,1.3164368808077231,0.14125090818920089,0.4265902421475468,-0.24349999999999994
25,1000,692,1.3227077631691635,0.14132995474552104,0.4244845207429111,-0.2437
30,100,805,1.3617887425698572,0.1538858161304321,0.42226296944249403,-0.2492999999999999
30,200,861,1.3828814778906704,0.14842774161552288,0.42501262090461145,-0.2501999999999999
30,500,801,1.3730591735485849,0.14554163412063728,0.4245357276256696,-0.2495
30,1000,803,1.3694553694123683,0.14515624573801994,0.42478548055423765,-0.24980000000000002
