Bait,Prey
MEPCE,NCBP1
MEPCE,RBM45
MEPCE,CPSF6
MEPCE,PABPC1L2A
MEPCE,RPLP0
MEPCE,CBX5
MEPCE,ACTN4
MEPCE,ELAVL4
MEPCE,SNRPD3
MEPCE,CELF4
MEPCE,NAPEPLD
MEPCE,IGHMBP2
MEPCE,RPL22
MEPCE,TGS1
MEPCE,HNRNPU
MEPCE,GAPDH
MEPCE,FMR1
MEPCE,RUVBL1
MEPCE,EFL1
MEPCE,LSM14A
MEPCE,NUP62
MEPCE,RPS7
MEPCE,RBM12
MEPCE,HNRNPR
MEPCE,L1RE1
MEPCE,HNRNPA1
MEPCE,SNRPF
MEPCE,HSPA1A
MEPCE,LSM1
MEPCE,LRRK2
MEPCE,RBMS3
MEPCE,TMEM258
MEPCE,HNRNPCL2
MEPCE,PHAX
MEPCE,GTF3C1
MEPCE,HNRNPH1
MEPCE,PABPC3
MEPCE,BLOC1S6
MEPCE,PABPC5
MEPCE,CSNK1E
MEPCE,RBMX
MEPCE,PA2G4
MEPCE,RBMS2
MEPCE,HNRNPH2
MEPCE,GEMIN4
MEPCE,SNRPN
MEPCE,MKRN3
MEPCE,LARP7
MEPCE,APOBEC3F
MEPCE,G3BP2
MEPCE,CELF3
MEPCE,PRSS41
MEPCE,PCBP4
MEPCE,SLBP
MEPCE,NSRP1
MEPCE,PCBP1
MEPCE,L1TD1
MEPCE,ACTB
MEPCE,XRCC5
MEPCE,PCBP2
MEPCE,MVP
MEPCE,ZC3H18
MEPCE,RBM12B
MEPCE,AKAP8L
MEPCE,RPL27
MEPCE,RUVBL2
MEPCE,JMJD6
MEPCE,HNRNPA0
MEPCE,RPL26
MEPCE,RPS6KL1
MEPCE,SNRPE
MEPCE,TIA1
MEPCE,HOMER2
MEPCE,SYNCRIP
MEPCE,PABPC1
MEPCE,CPSF3
MEPCE,RBM14
MEPCE,RBMS1
MEPCE,ZFP36L1
MEPCE,DYRK1A
MEPCE,EEFSEC
MEPCE,RPL22L1
MEPCE,EPRS1
MEPCE,EEF2
MEPCE,HNRNPUL1
MEPCE,SNRPB
MEPCE,HNRNPAB
MEPCE,HEXIM1
MEPCE,TOP2B
MEPCE,LSM14B
MEPCE,IGF2BP1
MEPCE,TDRD1
MEPCE,NUP98
MEPCE,SRRT
MEPCE,SNRPD1
MEPCE,URS0000734D8F_9606
MEPCE,HNRNPA2B1
MEPCE,HNRNPK
MEPCE,HNRNPD
MEPCE,LARP6
MEPCE,HNRNPH3
MEPCE,HSF1
MEPCE,HNRNPCL1
MEPCE,DAZAP1
MEPCE,ZC3H14
MEPCE,PIH1D2
MEPCE,TRIM21
MEPCE,SLU7
MEPCE,XPO1
MEPCE,PABPC4
MEPCE,SUZ12
MEPCE,DDX1
MEPCE,NPM1
MEPCE,TOP2A
MEPCE,HNRNPA3
MEPCE,BCL2L14
MEPCE,JRK
MEPCE,ELAVL2
MEPCE,ZFP36L2
MEPCE,RPL4
MEPCE,RPL13A
MEPCE,RO60
MEPCE,TEP1
MEPCE,PABPC4L
MEPCE,APOBEC3G
MEPCE,SNRPA1
MEPCE,URS000075D95B_9606
MEPCE,SECISBP2L
MEPCE,GRSF1
MEPCE,SRA1
MEPCE,JAKMIP1
MEPCE,RPL7
MEPCE,CELF2
MEPCE,CELF5
MEPCE,RPS8
MEPCE,ELAVL1
MEPCE,HSPA1B
MEPCE,DDX5
MEPCE,YBX1
MEPCE,MRPL10
MEPCE,HSPA8
MEPCE,TMX2
MEPCE,SSB
MEPCE,RPS9
MEPCE,RPL5
MEPCE,HNRNPL
MEPCE,SLC23A1
MEPCE,PIP4K2C
MEPCE,BRCA1
MEPCE,G3BP1
MEPCE,PUF60
MEPCE,PABPN1
MEPCE,CELF1
MEPCE,RPS3
MEPCE,LSM6
MEPCE,ESRP1
MEPCE,PATL2
MEPCE,HNRNPF
MEPCE,PABPC1L
MEPCE,HNRNPLL
MEPCE,GEMIN7
MEPCE,TAF5L
MEPCE,RPL13AP3
MEPCE,PARP4
MEPCE,ARFGEF1
MEPCE,IQGAP1
MEPCE,SECISBP2
MEPCE,RPS5
MEPCE,ELAVL3
MEPCE,LRPPRC
MEPCE,ESRP2
MEPCE,BOP1
MEPCE,SNRPD2
MEPCE,RNF135
MEPCE,ZFP36
MEPCE,PIH1D1
MEPCE,TEFM
MEPCE,ATXN2
MEPCE,ILF2
MEPCE,ZNF827
MEPCE,SLIRP
MEPCE,RPS6
MEPCE,RPS3A
MEPCE,ILF3
MEPCE,DYRK2
MEPCE,DHX9
MEPCE,ERG
MEPCE,SNRPG
MEPCE,DDX17
MEPCE,PCBP3
MEPCE,NFATC2
MEPCE,MRPL41
MEPCE,RIGI
MEPCE,RPS4X
MEPCE,OR51E2
MEPCE,SLC5A1
MEPCE,NCL
MEPCE,CELF6
EIF4A2,NCBP1
EIF4A2,NCBP3
EIF4A2,EIF4G2
EIF4A2,EIF4A1
EIF4A2,EIF4H
EIF4A2,EIF4B
EIF4A2,STRADA
EIF4A2,OTUD6B
EIF4A2,EIF4G1
EIF4A2,EIF4E1B
EIF4A2,EIF4E2
EIF4A2,EIF4E3
EIF4A2,NCBP2
EIF4A2,EIF4E
EIF4A2,EIF4EBP3
EIF4A2,STK11
EIF4A2,EIF4G3
