Bait,FDR Bin,Method,Precision,TP
PSMA4,0-0.01,PU Learning,0.18218623481781376,45
PSMA4,0-0.01,PU excl. background,0.18487394957983194,44
PSMA4,0-0.01,SAINTq,0.25984251968503935,33
PSMA4,0-0.01,SAINTexpress,0.30952380952380953,26
PSMA4,0-0.01,limma,0.056382145653876274,72
PSMA4,0.01-0.05,PU Learning,0.11392405063291139,9
PSMA4,0.01-0.05,PU excl. background,0.11267605633802817,8
PSMA4,0.01-0.05,SAINTq,0.04938271604938271,4
PSMA4,0.01-0.05,SAINTexpress,0.1,4
PSMA4,0.01-0.05,limma,0.03854875283446712,34
PSMC2,0-0.01,PU Learning,0.15254237288135594,45
PSMC2,0-0.01,PU excl. background,0.1543859649122807,44
PSMC2,0-0.01,SAINTq,0.10483870967741936,52
PSMC2,0-0.01,SAINTexpress,0.11421319796954314,45
PSMC2,0-0.01,limma,0.05776780706674145,103
PSMC2,0.01-0.05,PU Learning,0.05806451612903226,9
PSMC2,0.01-0.05,PU excl. background,0.06451612903225806,8
PSMC2,0.01-0.05,SAINTq,0.04242424242424243,7
PSMC2,0.01-0.05,SAINTexpress,0.0425531914893617,4
PSMC2,0.01-0.05,limma,0.033288948069241014,25
