Positives,Negatives,Mean AUC,Std AUC,Mean AUC@Top300,Std AUC@Top300
5,100,0.17188220657097056,0.0015920851281793808,0.3330488232633379,0.041826463438718535
5,200,0.17238606946284288,0.001659874857383056,0.3386612908242438,0.04232606803299619
5,500,0.1702025110459144,0.0016003741701098035,0.3306073376118743,0.04190840988276536
5,1000,0.17109606021833282,0.001602035024729258,0.3304125769286579,0.04088171809980535
10,100,0.17690532608459467,0.0024807652501851072,0.3860847889149982,0.049921895191852673
10,200,0.1767412572463725,0.0024876584150645186,0.39059565493447074,0.05013762340675089
10,500,0.17602301334591025,0.002303304689034837,0.3889298106752428,0.049727731549630186
10,1000,0.17407549836480413,0.0022857641148542,0.39458172077235604,0.05081257144554815
15,100,0.1780937447575575,0.002718144180115534,0.39040751684133107,0.05044251274704833
15,200,0.1776307827912538,0.0027369825230149037,0.39244385907291063,0.05023104916321829
15,500,0.1766055133946612,0.002844689746522308,0.3917158805742693,0.05213390639063589
15,1000,0.17583776023537642,0.002747433458200965,0.39345437768630676,0.052345887063409265
20,100,0.1793741627503001,0.0030334288127462743,0.40214247357251975,0.051789958663149636
20,200,0.17918414866459642,0.0030928571473789,0.4028959958545259,0.05157040778775386
20,500,0.17760057662092105,0.0028740149435494177,0.4036337801201093,0.05282696977662964
20,1000,0.17648669139092862,0.0029402911803838826,0.4014202895253519,0.05382857085722249
25,100,0.17798342674409168,0.0030392135675213192,0.39685571684866955,0.050135980673601116
25,200,0.17726316433341766,0.002859438352574854,0.39140007636304625,0.04948430351056314
25,500,0.1758372463132868,0.003014327846410789,0.3954987590844417,0.05284149846310275
25,1000,0.1744849243460896,0.0027367954832941787,0.39095046946333617,0.0521665324641063
30,100,0.17750869422663368,0.002779277268895527,0.3821023106382215,0.048258638969657965
30,200,0.177625877157763,0.0025381468052148443,0.39373331353212265,0.04982207519797682
30,500,0.17629035881025587,0.0028986197497724597,0.39428284201234975,0.04940807622398292
30,1000,0.17539380189297687,0.0028578485822785497,0.38924981135914366,0.052966932390375206
