Bait,FDR Bin,Method,Precision,TP
EIF4A2,0-0.01,PU Learning,0.11904761904761904,5
EIF4A2,0-0.01,SAINTq,0.045454545454545456,4
EIF4A2,0-0.01,SAINTexpress,0.14285714285714285,4
EIF4A2,0-0.01,limma,0.006514657980456026,2
EIF4A2,0.01-0.05,PU Learning,0.0,0
EIF4A2,0.01-0.05,SAINTq,0.02857142857142857,1
EIF4A2,0.01-0.05,SAINTexpress,0.0,0
EIF4A2,0.01-0.05,limma,0.004132231404958678,1
MEPCE,0-0.01,PU Learning,0.1411764705882353,12
MEPCE,0-0.01,SAINTq,0.07241379310344828,21
MEPCE,0-0.01,SAINTexpress,0.22448979591836735,11
MEPCE,0-0.01,limma,0.05042016806722689,12
MEPCE,0.01-0.05,PU Learning,0.04081632653061224,2
MEPCE,0.01-0.05,SAINTq,0.008130081300813009,1
MEPCE,0.01-0.05,SAINTexpress,0.0,0
MEPCE,0.01-0.05,limma,0.03508771929824561,6
